X: (s),Y: (Hits)
2.26561e-08,0
2.26744e-08,0
2.26927e-08,1
2.2711e-08,0
2.27293e-08,0
2.27476e-08,0
2.27659e-08,1
2.27842e-08,1
2.28025e-08,2
2.28208e-08,0
2.28391e-08,0
2.28574e-08,0
2.28757e-08,0
2.2894e-08,0
2.29123e-08,1
2.29306e-08,0
2.29489e-08,0
2.29672e-08,0
2.29855e-08,0
2.30038e-08,0
2.30221e-08,1
2.30404e-08,0
2.30587e-08,0
2.3077e-08,1
2.30953e-08,1
2.31136e-08,0
2.31319e-08,0
2.31502e-08,1
2.31685e-08,0
2.31868e-08,0
2.32051e-08,0
2.32234e-08,0
2.32417e-08,0
2.326e-08,1
2.32783e-08,0
2.32966e-08,0
2.33149e-08,0
2.33332e-08,0
2.33515e-08,0
2.33698e-08,0
2.33881e-08,0
2.34064e-08,0
2.34247e-08,0
2.3443e-08,0
2.34613e-08,0
2.34796e-08,0
2.34979e-08,1
2.35163e-08,0
2.35346e-08,0
2.35529e-08,0
2.35712e-08,0
2.35895e-08,0
2.36078e-08,0
2.36261e-08,0
2.36444e-08,0
2.36627e-08,0
2.3681e-08,0
2.36993e-08,0
2.37176e-08,0
2.37359e-08,0
2.37542e-08,0
2.37725e-08,0
2.37908e-08,0
2.38091e-08,0
2.38274e-08,0
2.38457e-08,0
2.3864e-08,0
2.38823e-08,0
2.39006e-08,0
2.39189e-08,0
2.39372e-08,0
2.39555e-08,0
2.39738e-08,0
2.39921e-08,0
2.40104e-08,0
2.40287e-08,1
2.4047e-08,0
2.40653e-08,0
2.40836e-08,0
2.41019e-08,0
2.41202e-08,1
2.41385e-08,0
2.41568e-08,0
2.41751e-08,0
2.41934e-08,0
2.42117e-08,0
2.423e-08,0
2.42483e-08,1
2.42666e-08,0
2.42849e-08,0
2.43032e-08,0
2.43215e-08,0
2.43398e-08,0
2.43581e-08,0
2.43764e-08,1
2.43947e-08,0
2.4413e-08,0
2.44313e-08,0
2.44496e-08,1
2.44679e-08,0
2.44862e-08,0
2.45046e-08,1
2.45229e-08,0
2.45412e-08,0
2.45595e-08,0
2.45778e-08,0
2.45961e-08,0
2.46144e-08,0
2.46327e-08,0
2.4651e-08,0
2.46693e-08,0
2.46876e-08,0
2.47059e-08,0
2.47242e-08,0
2.47425e-08,0
2.47608e-08,1
2.47791e-08,0
2.47974e-08,0
2.48157e-08,1
2.4834e-08,1
2.48523e-08,1
2.48706e-08,0
2.48889e-08,0
2.49072e-08,0
2.49255e-08,0
2.49438e-08,0
2.49621e-08,0
2.49804e-08,1
2.49987e-08,0
2.5017e-08,0
2.50353e-08,0
2.50536e-08,0
2.50719e-08,0
2.50902e-08,0
2.51085e-08,1
2.51268e-08,1
2.51451e-08,0
2.51634e-08,0
2.51817e-08,1
2.52e-08,0
2.52183e-08,0
2.52366e-08,0
2.52549e-08,0
2.52732e-08,0
2.52915e-08,0
2.53098e-08,0
2.53281e-08,0
2.53464e-08,0
2.53647e-08,1
2.5383e-08,0
2.54013e-08,0
2.54196e-08,0
2.54379e-08,0
2.54562e-08,0
2.54746e-08,0
2.54929e-08,0
2.55112e-08,0
2.55295e-08,0
2.55478e-08,0
2.55661e-08,0
2.55844e-08,0
2.56027e-08,0
2.5621e-08,0
2.56393e-08,0
2.56576e-08,0
2.56759e-08,0
2.56942e-08,0
2.57125e-08,0
2.57308e-08,0
2.57491e-08,0
2.57674e-08,0
2.57857e-08,0
2.5804e-08,0
2.58223e-08,0
2.58406e-08,0
