BLANK ODE2 and toluene1 ex284,,BLANK ODE2 and toluene2,,BLANK ODE2 and toluene1 em330,,BLANK ODE2 and toluene1 ex287,,BLANK ODE2 and toluene1 ex300,,BLANK ODE2 and toluene1 em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
443.9299927,-95.44743347,433.9299927,-128.2842865,,,440.8999939,-33.87147522,453.9299927,-0.2911558151,,,
445,-95.15288544,435,-128.1935577,,,441.9599915,-33.64951324,455,-0.1250047684,,,
446.0599976,-95.28196716,436.0599976,-128.8506927,,,442.8699951,-34.24424362,456.0599976,-0.4816074371,,,
446.9599915,-95.650177,436.9599915,-129.2439423,,,443.9299927,-34.57331467,456.9599915,-0.2244167328,,,
448.0299988,-95.95823669,438.0299988,-129.3598785,,,444.8399963,-34.17164612,458.0299988,-0.09914207458,,,
448.9299927,-95.9868927,438.9299927,-129.6910706,,,445.8999939,-34.57326508,458.9299927,-0.6662559509,,,
450,-95.72372437,440,-130.2493439,,,446.9599915,-35.08812332,460,-1.047956467,,,
451.0599976,-96.03194427,441.0599976,-130.7062073,,,447.8699951,-35.32780457,461.0599976,-1.002626419,,,
451.9599915,-96.28546906,441.9599915,-129.8202515,,,448.9299927,-35.22951889,461.9599915,-1.132537842,,,
453.0299988,-96.23921204,443.0299988,-130.7262268,,,449.8399963,-36.18686676,463.0299988,-1.123351097,,,
453.9299927,-96.5185318,443.9299927,-131.7607269,,,450.8999939,-35.44960022,463.9299927,-1.393906593,,,
455,-96.85874939,445,-131.0187531,,,451.9599915,-36.74150848,465,-2.158815384,,,
456.0599976,-97.51322174,446.0599976,-131.4265442,,,452.8699951,-36.86989975,466.0599976,-2.763738632,,,
456.9599915,-98.21258545,446.9599915,-132.3988953,,,453.9299927,-36.74371338,466.9599915,-1.964076042,,,
458.0299988,-97.12178802,448.0299988,-131.9121857,,,454.8399963,-37.11066818,468.0299988,-2.651574135,,,
458.9299927,-97.40190125,448.9299927,-132.470108,,,455.8999939,-37.54364777,468.9299927,-2.940600395,,,
460,-98.2607193,450,-132.2796326,,,456.9599915,-36.88891983,470,-2.803319931,,,
461.0599976,-98.73921204,451.0599976,-132.82901,,,457.8699951,-38.00498199,471.0599976,-2.878760338,,,
461.9599915,-98.58457184,451.9599915,-132.3421173,,,458.9299927,-38.16939926,471.9599915,-3.625707626,,,
463.0299988,-98.42840576,453.0299988,-132.1028137,,,459.8399963,-38.00819397,473.0299988,-3.107009888,,,
463.9299927,-98.80317688,453.9299927,-133.3735657,,,460.8999939,-37.43107986,473.9299927,-3.306706429,,,
465,-98.65869141,455,-133.4716492,,,461.9599915,-38.42769623,475,-3.420091629,,,
466.0599976,-99.01625061,456.0599976,-132.7528076,,,462.8699951,-38.57266998,476.0599976,-3.139746666,,,
466.9599915,-99.54818726,456.9599915,-133.6493835,,,463.9299927,-38.59996414,476.9599915,-4.013498306,,,
468.0299988,-99.05471802,458.0299988,-133.8230743,,,464.8399963,-38.41786194,478.0299988,-3.94366169,,,
468.9299927,-99.41331482,458.9299927,-134.1104431,,,465.8999939,-39.04176712,478.9299927,-4.074977875,,,
470,-99.27037048,460,-134.1761169,,,466.9599915,-39.58982468,480,-3.931508064,,,
471.0599976,-99.96287537,461.0599976,-134.4742737,,,467.8699951,-39.00735092,481.0599976,-5.055494308,,,
471.9599915,-99.94532013,461.9599915,-134.5231018,,,468.9299927,-39.90845108,481.9599915,-4.387945175,,,
473.0299988,-99.48866272,463.0299988,-134.516571,,,469.8399963,-40.61621094,483.0299988,-4.75217247,,,
473.9299927,-100.5804825,463.9299927,-134.0751038,,,470.8999939,-40.56776428,483.9299927,-5.176240921,,,
475,-100.5137177,465,-134.869812,,,471.9599915,-40.00579071,485,-5.347109795,,,
476.0599976,-99.93153381,466.0599976,-135.3750763,,,472.8699951,-40.3866539,486.0599976,-5.850298882,,,
476.9599915,-100.4942627,466.9599915,-134.9559021,,,473.9299927,-40.82785034,486.9599915,-5.102918625,,,
478.0299988,-100.3110657,468.0299988,-135.2977142,,,474.8399963,-40.58734512,488.0299988,-4.892154694,,,
478.9299927,-100.5624542,468.9299927,-135.6478729,,,475.8999939,-40.73119354,488.9299927,-5.751145363,,,
480,-101.3549194,470,-135.8252258,,,476.9599915,-41.17639923,490,-5.756549835,,,
481.0599976,-100.7449646,471.0599976,-135.8674011,,,477.8699951,-41.1157074,491.0400085,-6.337204933,,,
481.9599915,-101.0352936,471.9599915,-135.8504333,,,478.9299927,-41.3270874,491.9400024,-6.629691124,,,
483.0299988,-101.284935,473.0299988,-136.5443726,,,479.8399963,-41.49853897,492.980011,-6.494969368,,,
483.9299927,-101.5554352,473.9299927,-135.9646759,,,480.8999939,-42.1013298,494.019989,-6.52076149,,,
485,-101.5480347,475,-136.4344177,,,481.9599915,-41.87384033,495.0700073,-6.408551216,,,
486.0599976,-101.334137,476.0599976,-136.3038635,,,482.8699951,-41.78980255,495.9700012,-6.721735954,,,
486.9599915,-101.9929504,476.9599915,-136.2279053,,,483.9299927,-42.30944443,497.0100098,-6.743754387,,,
488.0299988,-102.2508392,478.0299988,-136.8903809,,,484.8399963,-42.4879303,498.0499878,-7.073449135,,,
488.9299927,-102.2694931,478.9299927,-136.7507019,,,485.8999939,-42.81814575,498.9500122,-7.408451557,,,
490,-102.2824097,480,-137.1716766,,,486.9599915,-42.60850525,500,-7.12352562,,,
491.0400085,-102.4445343,481.0599976,-136.9279785,,,487.8699951,-42.75556183,501.0400085,-7.237411499,,,
491.9400024,-102.6117935,481.9599915,-137.6229401,,,488.9299927,-43.03330231,501.9400024,-7.173012257,,,
492.980011,-102.6126709,483.0299988,-137.6331024,,,489.8399963,-43.23173523,502.980011,-7.892681599,,,
494.019989,-102.6887054,483.9299927,-137.7149353,,,490.8900146,-43.08898544,504.019989,-8.333548546,,,
495.0700073,-102.7739182,485,-137.4405365,,,491.9400024,-43.05109406,505.0700073,-7.767239094,,,
495.9700012,-102.6360397,486.0599976,-137.9984283,,,492.980011,-43.31167984,505.9700012,-7.797903061,,,
497.0100098,-103.3117676,486.9599915,-138.0667267,,,493.8800049,-43.64018631,507.0100098,-7.919573784,,,
498.0499878,-103.2489777,488.0299988,-137.957901,,,494.9200134,-43.62605667,508.0499878,-8.21792984,,,
498.9500122,-103.4433823,488.9299927,-138.4169006,,,495.9700012,-43.94118881,508.9500122,-8.727736473,,,
500,-103.4998093,490,-138.4887085,,,496.8599854,-43.85618973,510,-8.616575241,,,
501.0400085,-103.4654083,491.0400085,-138.7292938,,,497.9100037,-44.13901138,511.0599976,-8.839408875,,,
501.9400024,-103.5540543,491.9400024,-138.3320618,,,498.9500122,-44.21509933,511.9599915,-8.349797249,,,
502.980011,-103.2529068,492.980011,-138.4598083,,,499.8500061,-44.46471024,513.0300293,-8.809984207,,,
504.019989,-103.776413,494.019989,-138.6110229,,,500.8900146,-44.75230026,513.9299927,-9.073360443,,,
505.0700073,-103.809906,495.0700073,-138.8148651,,,501.9400024,-44.28041458,515,-9.064389229,,,
505.9700012,-103.9587631,495.9700012,-138.6791382,,,502.980011,-44.95868301,516.0599976,-9.254869461,,,
507.0100098,-103.6876144,497.0100098,-138.9287109,,,503.8800049,-45.04832077,516.960022,-8.950827599,,,
508.0499878,-104.1286469,498.0499878,-139.3272705,,,504.9200134,-45.09358978,518.0300293,-9.662469864,,,
