CdS 30sec ODE2 Toluene1 ex420,,CdS 30sec ODE2 Toluene1 em420,,CdS 30sec ODE2 Toluene1 ex340,,CdS 30sec ODE2 Toluene1 em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
518.9299927,28.06473351,309.0700073,178.966156,438.9299927,246.4990234,289.0599976,89.27765656
520,27.03125191,310,185.3696594,440,246.2930603,290,97.88156891
521.039978,26.12256432,311.0700073,187.3995361,441.0599976,239.5300903,290.9299927,105.3203659
521.9400024,25.34564781,312,192.3004456,441.9599915,237.5819397,292.0299988,113.3382187
522.9799805,24.86316109,313.0700073,194.8587646,443.0299988,233.5379028,292.9599915,119.7446823
524.0200195,24.21780968,314,198.9663086,443.9299927,233.3413086,294.0599976,128.6261292
525.0700073,23.00606728,315.0700073,203.6321411,445,229.8220215,295,135.2479858
525.9699707,22.37924004,316,207.0068054,446.0599976,223.7165833,295.9299927,140.2966919
527.0100098,21.41741753,317.0700073,217.4599304,446.9599915,222.3115234,297.0299988,148.2329102
528.0499878,20.58822823,318,216.8966064,448.0299988,217.5929565,297.9599915,150.4772339
528.9500122,19.87870598,319.0700073,221.4611511,448.9299927,214.23703,299.0599976,157.4281006
530,19.0334034,320,231.615509,450,210.1602478,300,163.2315063
531.039978,18.37100792,320.9299927,234.6574097,451.0599976,213.4039917,301.0700073,166.8556824
531.9400024,17.91252708,322.0299988,242.2410583,451.9599915,207.660553,302,172.1340027
532.9799805,17.28276634,322.9599915,243.3478699,453.0299988,203.6619873,303.0700073,180.0929565
534.0200195,16.23994255,324.0599976,247.2691345,453.9299927,202.8041077,304,183.0184021
535.0700073,15.9673748,325,252.7547302,455,199.6577759,305.0700073,186.7602234
535.9699707,14.6989727,325.9299927,252.2669373,456.0599976,197.347229,306,191.9840393
537.0100098,13.44626427,327.0299988,263.6295776,456.9599915,198.5359497,307.0700073,198.35495
538.0499878,13.22556496,327.9599915,264.7826538,458.0299988,193.6814575,308,203.8883362
