CdSe 20sec ex295,,CdSe 20sec em370,,CdSe 20sec ex320,,CdSe 20sec em520,,CdSe 20sec ex380,,CdSe 20sec em390,,CdSe 20sec ex330,,CdSe 20sec em405,,CdSe 20sec ex335,,CdSe 20sec em400,,CdSe 20sec em420,,CdSe 20sec em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
361.0700073,36.37106323,295.9299927,40.59706497,386,83.08899689,325.9299927,40.99068832,446.0599976,62.4446106,295.9299927,38.66345978,396,94.29417419,295.9299927,30.46382523,400.9200134,91.76015472,295.9299927,29.1114769,295.9299927,24.06654739,295.9299927,26.84526634
362,37.11818314,297.0299988,43.52142715,387.0700073,84.647995,327.0299988,41.29177094,446.9599915,62.46466827,297.0299988,41.63496399,397.0700073,94.69149017,297.0299988,34.1095314,401.8399963,92.78716278,297.0299988,31.78977585,297.0299988,26.384552,297.0299988,29.82027626
363.0700073,38.00845337,297.9599915,44.92767334,388,85.10383606,327.9599915,42.17679596,448.0299988,63.38131714,297.9599915,43.72908401,398,93.62731934,297.9599915,36.03694534,402.9200134,92.17178345,297.9599915,32.42413712,297.9599915,28.42884064,297.9599915,31.95342064
364,37.64102554,299.0599976,47.71691895,389.0700073,88.08802795,329.0599976,42.42566681,448.9299927,62.93240356,299.0599976,46.70002365,399.0700073,91.40446472,299.0599976,37.42965698,403.8399963,92.39083099,299.0599976,35.27657318,299.0599976,30.53536987,299.0599976,33.36223221
365.0700073,39.0512886,300,48.63606262,390,87.64844513,330,42.67455673,450,63.81917572,300,47.67289352,400,93.50190735,300,40.35354996,404.9200134,91.24845123,300,36.96001434,300,32.6197052,300,35.05513
366,38.52704239,301.0700073,51.13635635,391.0700073,88.3552475,331.0700073,42.81598282,451.0599976,62.51539612,301.0700073,51.14038849,401.0700073,94.64836121,301.0700073,42.08934021,405.8399963,91.76419067,301.0700073,39.22429276,301.0700073,34.27238083,301.0700073,37.98416901
367.0700073,39.27095032,302,53.76907349,392,89.31629944,332,45.2646637,451.9599915,63.84081268,302,53.24539185,402,94.44091034,302,45.34223938,406.9200134,91.9899826,302,40.9139328,302,36.25243378,302,38.55326462
368,39.68928909,303.0700073,56.8469429,393.0700073,90.35913849,333.0700073,46.7817688,453.0299988,63.50104523,303.0700073,56.50761032,403.0700073,93.66395569,303.0700073,47.86502838,407.8399963,93.42834473,303.0700073,44.16509247,303.0700073,37.87122726,303.0700073,42.5182457
369.0700073,39.69174957,304,56.06780624,394,88.28536987,334,45.58572006,453.9299927,63.73480988,304,59.5647049,404,95.07292175,304,50.37556458,408.9200134,93.01160431,304,46.7942543,304,41.47740173,304,44.20788956
370,39.68564987,305.0700073,57.98263168,395.0700073,88.47871399,335.0700073,45.56164169,455,63.80795288,305.0700073,60.68979645,405.0700073,95.14109802,305.0700073,51.3453064,409.8399963,91.16277313,305.0700073,50.04969406,305.0700073,41.97529221,305.0700073,47.23924637
371.0700073,39.71737289,306,59.42473602,396,88.12413788,336,46.66357422,456.0599976,63.70774078,306,64.10847473,406,95.80142975,306,54.87321854,410.8999939,92.45788574,306,53.36001205,306,44.07036972,306,49.81734848
372,41.58922577,307.0700073,60.92103958,397.0700073,87.8709259,337.0700073,47.68972778,456.9599915,62.08420563,307.0700073,68.59171295,407.0700073,94.52366638,307.0700073,57.34656525,411.9599915,91.11013794,307.0700073,53.30368042,307.0700073,47.38883209,307.0700073,53.39378738
373.0700073,40.65098953,308,63.60911179,398,86.7742691,338,47.96815872,458.0299988,61.20330048,308,68.3746109,408,91.40988922,308,59.36960602,412.8699951,94.43991852,308,55.48235703,308,48.93484116,308,54.09269714
374,40.35800171,309.0700073,64.51483917,399.0700073,88.62232971,339.0700073,50.62708664,458.9299927,62.4930191,309.0700073,71.45088959,409.0700073,93.81879425,309.0700073,62.57495117,413.9299927,93.98152924,309.0700073,59.67457962,309.0700073,51.0799942,309.0700073,54.99632645
375.0700073,41.19588089,310,65.57576752,400,86.98196411,340,50.5888176,460,62.42662048,310,74.52174377,410,93.32936859,310,64.06719208,414.8399963,91.3277359,310,62.0864296,310,54.39165115,310,60.42189789
376,41.3205986,311.0700073,66.61991119,401.0700073,87.56622314,341.0700073,52.14876556,461.0599976,61.36102295,311.0700073,75.54928589,411.0599976,91.35163879,311.0700073,67.96352386,415.8999939,90.27404022,311.0700073,63.90760422,311.0700073,56.27833557,311.0700073,60.39493561
377.0700073,41.0943718,312,67.73776245,402,86.54069519,342,50.06083679,461.9599915,61.34089661,312,77.24421692,411.9599915,90.58644104,312,69.50162506,416.9599915,91.65665436,312,66.18589783,312,57.7454567,312,61.90418243
378,39.82957077,313.0700073,67.10408783,403.0700073,85.17784119,343.0700073,51.5712738,463.0299988,58.83584595,313.0700073,78.94091797,413.0299988,89.51430511,313.0700073,71.91331482,417.8699951,90.57181549,313.0700073,67.09318542,313.0700073,60.11182785,313.0700073,64.00090027
379.0700073,39.89398575,314,66.2886734,404,84.90608215,344,52.46060181,463.9299927,59.61480713,314,81.27416992,413.9299927,91.52507782,314,74.3214035,418.9299927,90.78807068,314,68.76950073,314,60.90600967,314,64.61123657
380,40.0034523,315.0700073,68.03764343,405.0700073,83.91587067,345.0700073,52.88578796,465,58.38803864,315.0700073,81.32302856,415,90.16790771,315.0700073,74.28469086,419.8399963,89.55697632,315.0700073,71.62023926,315.0700073,62.99922562,315.0700073,69.32502747
381.0700073,40.16052246,316,67.93345642,406,83.17449951,346,51.81214523,466.0599976,58.75597382,316,82.9107666,416.0599976,90.45720673,316,75.73723602,420.9200134,90.32232666,316,74.43963623,316,66.15451813,316,70.98337555
382,41.17581177,317.0700073,69.02966309,407.0700073,83.03250885,347.0700073,53.17103958,466.9599915,57.45986938,317.0700073,86.51324463,416.9599915,88.73641968,317.0700073,78.85043335,421.8399963,88.20613861,317.0700073,72.77339172,317.0700073,68.59098053,317.0700073,71.83532715
383.0700073,39.72567749,318,66.71781921,408,82.7612915,348,53.9173317,468.0299988,56.63261414,318,86.65977478,418.0299988,88.28826141,318,79.61133575,422.9200134,87.45057678,318,80.52838135,318,67.89525604,318,73.43043518
384,40.73384476,319.0700073,67.70335388,409.0700073,81.50370026,349.0700073,53.41028214,468.9299927,55.55886459,319.0700073,85.9437561,418.9299927,89.02742004,319.0700073,80.16771698,423.8399963,85.92299652,319.0700073,78.7822876,319.0700073,70.11264801,319.0700073,76.46055603
385.0700073,39.48876953,320,65.93009949,410,83.07772827,350,54.34907913,470,55.20523834,320,90.13848114,420,86.68727112,320,83.1832428,424.9200134,86.3608017,320,78.92288208,320,70.22044373,320,76.74391937
386,39.45844269,320.9299927,67.26170349,411.0599976,81.62418365,351.0700073,53.86379242,471.0599976,53.56653976,320.9299927,89.07375336,421.0700073,85.20755768,320.9299927,84.88019562,425.8399963,86.10978699,320.9299927,83.24700928,320.9299927,74.57423401,320.9299927,77.769104
387.0700073,39.21112823,322.0299988,67.23632813,411.9599915,79.79865265,352,55.2910347,471.9599915,53.40076828,322.0299988,91.11462402,422,86.46586609,322.0299988,86.83395386,426.9200134,83.33320618,322.0299988,85.09013367,322.0299988,76.80345917,322.0299988,81.61182404
388,40.16511154,322.9599915,66.27500153,413.0299988,80.75532532,353.0700073,55.51630402,473.0299988,51.76479721,322.9599915,89.90698242,423.0700073,82.98802948,322.9599915,88.28405762,427.8399963,82.22725677,322.9599915,86.67901611,322.9599915,76.2155838,322.9599915,82.20079803
389.0700073,38.72809601,324.0599976,64.94997406,413.9299927,79.5335083,354,56.15306091,473.9299927,50.64632416,324.0599976,92.924263,424,83.49544525,324.0599976,89.38024139,428.9200134,81.17464447,324.0599976,87.63313293,324.0599976,79.31475067,324.0599976,83.33987427
390,38.59383774,325,64.15384674,415,77.16031647,355.0700073,55.83492279,475,50.25386047,325,91.80262756,425.0700073,82.08807373,325,92.57756042,429.8399963,80.75775909,325,86.61540222,325,81.22029114,325,84.01477814
391.0700073,38.83863449,325.9299927,63.50042343,416.0599976,76.74075317,356,56.75904083,476.0599976,49.79379272,325.9299927,91.82296753,426,79.82540894,325.9299927,93.38375092,430.8999939,80.29837799,325.9299927,89.91516113,325.9299927,84.15851593,325.9299927,87.47923279
