CdS 40sec ODE2 Toluene1 ex340,,CdS 50sec ODE2 Toluene1 ex335,,CdS 50sec ODE2 Toluene1 em420,,CdS 50sec ODE2 Toluene1 ex337,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex325,,CdS 50sec ODE2 Toluene1 em410,,CdS 50sec ODE2 Toluene1 ex333,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex345,,CdS 50sec ODE2 Toluene1 ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
427.0700073,267.4197388,421.8399963,204.5162354,317.0700073,168.1053925,423.8399963,206.6104736,431.9599915,183.2560577,411.9599915,199.9105225,317.0700073,178.4268036,419.8399963,203.7987671,431.9599915,185.1158447,427.0700073,102.6668396,416.9599915,126.2318954,
428,263.3052368,422.9200134,199.9882507,318,171.3274384,424.9200134,201.287384,432.8699951,180.4007416,412.8699951,196.9598236,318,184.4713593,420.9200134,201.4804993,432.8699951,182.4015198,428,96.43409729,418.0299988,125.1979446,
429.0700073,261.4676819,423.8399963,198.146698,319.0700073,171.8361816,425.8399963,199.4624023,433.9299927,182.0700226,413.9299927,194.424881,319.0700073,186.2582703,421.8399963,201.2145386,433.9299927,176.5247955,429.0700073,98.817276,418.9299927,122.8067093,
430,256.9717102,424.9200134,197.4585571,320,174.2016907,426.9200134,195.1578674,434.8399963,175.4715576,414.8399963,194.7653046,320,184.4749146,422.9200134,199.2220154,434.8399963,175.439682,430,96.13427734,420,122.2758255,
431.0599976,254.8722229,425.8399963,197.2944183,320.9299927,174.5563049,427.8399963,193.2902527,435.8999939,175.7301788,415.8999939,191.7982788,320.9299927,189.0099945,423.8399963,195.5997925,435.8999939,174.5793304,431.0599976,92.91659546,421.0700073,124.1580582,
431.9599915,251.2736206,426.9200134,192.7253265,322.0299988,180.0503387,428.9200134,189.8365631,436.9599915,173.2072906,416.9599915,192.1906738,322.0299988,195.772583,424.9200134,191.7135315,436.9599915,171.6622925,431.9599915,88.6660614,422,121.5195847,
433.0299988,246.8687439,427.8399963,189.4054108,322.9599915,182.6521759,429.8399963,186.2005463,437.8699951,169.6881104,417.8699951,190.0937805,322.9599915,193.8535767,425.8399963,190.5476379,437.8699951,171.1551971,433.0299988,87.65292358,423.0700073,121.1501083,
433.9299927,244.6750488,428.9200134,185.2327118,324.0599976,184.9557343,430.8999939,183.0190582,438.9299927,168.2516327,418.9299927,188.7628021,324.0599976,198.4596405,426.9200134,191.2459412,438.9299927,169.1112671,433.9299927,87.78004456,424,117.7620163,
435,240.5227661,429.8399963,185.4675751,325,188.0301819,431.9599915,182.3861847,439.8399963,165.6111145,419.8399963,187.1266327,325,203.0417328,427.8399963,188.3764343,439.8399963,165.0883789,435,85.49203491,425.0700073,115.9089432,
436.0599976,235.4671936,430.8999939,180.3605347,325.9299927,192.7472534,432.8699951,178.587616,440.8999939,164.556427,420.9200134,185.0282135,325.9299927,199.3790283,428.9200134,181.3241272,440.8999939,165.3695984,436.0599976,80.46080017,426,112.6092148,
436.9599915,233.9819336,431.9599915,181.7650909,327.0299988,195.5980225,433.9299927,175.0728912,441.9599915,158.8088684,421.8399963,186.5288544,327.0299988,204.3130646,429.8399963,180.7974243,441.9599915,157.6497192,436.9599915,77.43203735,427.0700073,109.7952194,
438.0299988,229.4894409,432.8699951,173.6985931,327.9599915,192.5980072,434.8399963,170.8892212,442.8699951,159.6563416,422.9200134,181.943512,327.9599915,204.1635895,430.8999939,174.3728027,442.8699951,156.8578033,438.0299988,75.59999084,428,109.6539536,
438.9299927,228.4525757,433.9299927,170.8733063,329.0599976,198.2896576,435.8999939,170.3359985,443.9299927,154.9072571,423.8399963,181.7318878,329.0599976,204.651123,431.9599915,174.5336304,443.9299927,154.8289642,438.9299927,73.914505,429.0700073,107.1049728,
440,223.7038269,434.8399963,170.4482574,330,197.1112213,436.9599915,166.0517273,444.8399963,156.4414063,424.9200134,178.8655243,330,206.404953,432.8699951,171.4385986,444.8399963,155.8754425,440,69.72991943,430,102.1368484,
441.0599976,214.8544312,435.8999939,166.6828003,331.0700073,203.8931274,437.8699951,163.134903,445.8999939,151.2840271,425.8399963,176.4787598,331.0700073,211.4385681,433.9299927,169.9298706,445.8999939,152.7452393,441.0599976,66.7182312,431.0599976,100.0031815,
