CdS 10sec ex300,,BLANK ex300,,CdS 20sec ex300,,CdS 20sec em365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
Em. Slit Width (nm): Changed: 8/19/2022 12:31:51 PM, Old:5, New:2.5
Zero Mode Changed: 8/19/2022 12:31:51 PM, Old:ON, New:OFF
Zero Mode Changed: 8/19/2022 12:31:54 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:31:54 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 12:39:47 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:39:47 PM, Old:Reading, New:ON
Em. Slit Width (nm): Changed: 8/19/2022 12:45:48 PM, Old:2.5, New:5
Zero Mode Changed: 8/19/2022 12:45:48 PM, Old:ON, New:OFF
Zero Mode Changed: 8/19/2022 12:45:52 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:45:53 PM, Old:Reading, New:ON
Stop Wavelength Changed: 8/19/2022 12:51:26 PM, Old: 600.00, New: 475.00
Zero Mode Changed: 8/19/2022 12:51:33 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:51:34 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 12:52:24 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 12:52:24 PM, Old:0.10000, New:0.50000
Scan Control Changed: 8/19/2022 12:54:35 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 8/19/2022 12:54:35 PM, Old:0.50000, New:0.10000
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Peaks, New:Valleys
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Valleys, New:Peaks Valleys
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Peaks Valleys, New:Zero Cross
Peak Style Changed: 8/19/2022 12:57:02 PM, Old:Zero Cross, New:Peaks
Emission Wavelength Changed: 8/19/2022 12:59:12 PM, Old: 250.00, New: 255.00
Zero Mode Changed: 8/19/2022 12:59:20 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:59:21 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 1:05:43 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:05:44 PM, Old:Reading, New:ON
Zero Mode Changed: 8/19/2022 1:06:45 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 1:06:45 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 1:07:34 PM, Old:Medium, New:Slow
