CdS sonochem 120min em410,,CdS sonochem 120min ex337,,CdS sonochem 120min em415,,CdS sonochem 120min ex340,,CdS sonochem 120min ex340 slow,,CdS sonochem 120min em420 slow,,CdS sonochem 120min ex295,,CdS sonochem 120min em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
317.0700073,159.7624817,423.8399963,186.5749054,317.0700073,162.0779419,427.0700073,189.2990417,427.0700073,190.5558014,317.0700073,155.7908783,382,118.5802917,317.0700073,91.41238403,
318,165.1485443,424.9200134,190.5583038,318,165.0968323,428,186.2950439,428,189.4850922,318,158.5448303,383.0700073,117.0485687,318,86.30973053,
319.0700073,164.8660583,425.8399963,184.3626404,319.0700073,165.2802887,429.0700073,186.494812,429.0700073,187.3288269,319.0700073,161.0409241,384,118.2173004,319.0700073,80.40034485,
320,165.9724884,426.9200134,182.3741302,320,166.1837463,430,181.9878998,430,184.4523621,320,163.4216003,385.0700073,113.2855225,320,75.6739502,
320.9299927,169.4716187,427.8399963,184.4759674,320.9299927,175.1869507,431.0599976,180.6506042,431.0599976,182.9117889,320.9299927,166.2981415,386,113.4388123,320.9299927,67.96656036,
322.0299988,172.6883698,428.9200134,181.9820862,322.0299988,175.0682526,431.9599915,180.8967285,431.9599915,180.1365814,322.0299988,169.8833466,387.0700073,113.664566,322.0299988,66.88694,
322.9599915,176.3228912,429.8399963,176.8696136,322.9599915,177.7670593,433.0299988,175.8899231,433.0299988,178.3431396,322.9599915,172.3635406,388,114.0083771,322.9599915,65.55027008,
324.0599976,177.3431549,430.8999939,176.18367,324.0599976,182.8546143,433.9299927,174.2648315,433.9299927,173.9072266,324.0599976,175.5992279,389.0700073,110.1000671,324.0599976,62.51258087,
325,180.4240417,431.9599915,174.1737213,325,185.129715,435,167.7259216,435,171.4585571,325,177.3953247,390,109.8717194,325,61.73233795,
325.9299927,178.6209869,432.8699951,174.2124481,325.9299927,186.8026276,436.0599976,166.246994,436.0599976,167.5793304,325.9299927,179.8540649,391.0700073,110.5126953,325.9299927,60.63118744,
327.0299988,182.7523041,433.9299927,170.1412964,327.0299988,190.6469116,436.9599915,163.141922,436.9599915,165.5615692,327.0299988,181.710968,392,109.6386414,327.0299988,58.05818939,
327.9599915,184.094162,434.8399963,162.4535522,327.9599915,188.9612274,438.0299988,160.4011993,438.0299988,161.0562592,327.9599915,184.2032013,393.0700073,109.5299225,327.9599915,56.61673737,
329.0599976,188.1989288,435.8999939,160.7444,329.0599976,190.6946259,438.9299927,158.0132294,438.9299927,158.274231,329.0599976,185.2746124,394,106.3913727,329.0599976,51.91991806,
330,188.9362488,436.9599915,160.2294769,330,193.9821777,440,154.8804169,440,154.6545258,330,187.3777466,395.0700073,106.2629089,330,46.84514236,
331.0700073,190.6278381,437.8699951,153.3563843,331.0700073,195.3113403,441.0599976,150.4030914,441.0599976,152.3225708,331.0700073,190.1924896,396,106.2341232,331.0700073,43.95775604,
332,190.0672302,438.9299927,149.6812744,332,194.9476776,441.9599915,147.2432861,441.9599915,149.5328064,332,190.9608612,397.0700073,106.4578171,332,38.81452179,
333.0700073,189.6070251,439.8399963,151.8236084,333.0700073,203.3729095,443.0299988,145.456604,443.0299988,147.1993408,333.0700073,191.9105377,398,105.5021362,333.0700073,35.43828964,
334,189.7211914,440.8999939,142.0861664,334,202.0178833,443.9299927,146.6799927,443.9299927,143.5191956,334,193.6640472,399.0700073,105.4112473,334,29.85415649,
335.0700073,192.3721466,441.9599915,141.9220428,335.0700073,204.2365265,445,140.6036377,445,143.1040649,335.0700073,195.4409332,400,104.8515396,335.0700073,25.24594498,
336,193.261795,442.8699951,138.4996796,336,202.4198151,446.0599976,140.0035858,446.0599976,139.1914825,336,193.9058228,401.0700073,104.7428436,336,22.34371948,
337.0700073,195.7376556,443.9299927,137.1099243,337.0700073,203.2798615,446.9599915,135.8313751,446.9599915,138.1793518,337.0700073,197.6946411,402,105.0296555,337.0700073,18.76113892,
338,194.4162445,444.8399963,134.4719849,338,204.4650726,448.0299988,134.684433,448.0299988,135.2280579,338,196.9234467,403.0700073,104.9514389,338,16.71477127,
339.0700073,187.3367767,445.8999939,134.024765,339.0700073,203.7826691,448.9299927,133.244278,448.9299927,133.3737793,339.0700073,197.434845,404,103.2052689,339.0700073,13.70928097,
340,188.7560577,446.9599915,130.2066803,340,207.3735504,450,128.9975128,450,131.8553009,340,195.634903,405.0700073,103.0806198,340,10.69160938,
341.0700073,189.7558136,447.8699951,129.5890656,341.0700073,202.2948608,451.0599976,127.2084122,451.0599976,129.2756042,341.0700073,195.3596344,406,103.3269577,,,
342,184.2382202,448.9299927,123.8964081,342,202.0500336,451.9599915,122.1381302,451.9599915,126.3890228,342,194.9576569,407.0700073,103.1272125,,,
343.0700073,184.5805664,449.8399963,123.9645081,343.0700073,200.6976318,453.0299988,123.2528,453.0299988,122.905304,343.0700073,194.4946136,408,103.4499969,,,
344,183.4054565,450.8999939,122.559021,344,197.7618103,453.9299927,119.5920639,453.9299927,120.2716827,344,193.1551514,409.0700073,103.0856628,,,
345.0700073,180.720993,451.9599915,122.4773865,345.0700073,198.0652313,455,120.3808365,455,118.671524,345.0700073,192.3708191,410,100.6194229,,,
346,179.6049194,452.8699951,120.485733,346,197.2531891,456.0599976,115.4347916,456.0599976,117.3036957,346,191.1602631,411.0599976,101.7478256,,,
347.0700073,176.9131012,453.9299927,114.6195068,347.0700073,190.108963,456.9599915,113.2210922,456.9599915,115.5651703,347.0700073,188.6735992,411.9599915,101.8499603,,,
348,170.6138,454.8399963,115.3694153,348,191.0820923,458.0299988,111.8139267,458.0299988,112.9403687,348,186.9624481,413.0299988,100.333847,,,
349.0700073,170.7991943,455.8999939,113.2317352,349.0700073,184.2960205,458.9299927,112.4074173,458.9299927,111.4469452,349.0700073,182.8418427,413.9299927,101.100914,,,
350,164.6586304,456.9599915,109.0933685,350,180.1585693,460,108.9440384,460,110.232666,350,180.2323456,415,100.2173767,,,
351.0700073,159.710022,457.8699951,109.4829254,351.0700073,177.9610291,461.0599976,105.4629593,461.0599976,105.9542847,351.0700073,177.4506683,416.0599976,101.5517807,,,
352,154.048111,458.9299927,105.8519287,352,173.3631897,461.9599915,104.5535355,461.9599915,104.7099686,352,173.3912354,416.9599915,98.96735382,,,
353.0700073,151.2911224,459.8399963,104.6664581,353.0700073,167.6881866,463.0299988,103.8129807,463.0299988,102.8804245,353.0700073,168.2780304,418.0299988,101.4648666,,,
354,148.4216766,460.8999939,100.6669464,354,165.6686859,463.9299927,99.28193665,463.9299927,100.025238,354,167.0971069,418.9299927,100.9171829,,,
355.0700073,143.3129578,461.9599915,99.03437805,355.0700073,161.5177765,465,102.6106949,465,98.62885284,355.0700073,161.3970184,420,100.4199371,,,
356,139.9277344,462.8699951,94.99053955,356,156.6941528,466.0599976,97.54512024,466.0599976,97.15193176,356,159.7112122,421.0700073,100.0492935,,,
357.0700073,135.7175598,463.9299927,92.00016785,357.0700073,151.7135468,466.9599915,95.85746765,466.9599915,95.18685913,357.0700073,155.605896,422,100.218605,,,
358,130.5986023,464.8399963,94.61204529,358,147.9309692,468.0299988,92.76599121,468.0299988,94.07571411,358,152.5607147,423.0700073,101.288147,,,
359.0700073,127.8350677,465.8999939,90.8097229,359.0700073,145.49263,468.9299927,90.71895599,468.9299927,90.45121765,359.0700073,147.8227081,424,100.5857925,,,
360,126.3218994,466.9599915,90.0892334,360,139.504364,470,90.37397003,470,88.09420776,360,145.4522095,425.0700073,99.41916656,,,
361.0700073,119.9535217,467.8699951,87.59710693,361.0700073,136.5807495,471.0599976,86.7342453,471.0599976,87.82495117,361.0700073,141.224472,426,100.8003006,,,
362,119.5773315,468.9299927,84.49755859,362,132.9536896,471.9599915,84.81518555,471.9599915,86.02067566,362,138.4910126,427.0700073,99.08268738,,,
363.0700073,115.5058289,469.8399963,83.17640686,363.0700073,128.6290131,473.0299988,85.20477295,473.0299988,84.33031464,363.0700073,134.0428925,428,96.95763397,,,
364,112.7870789,470.8999939,83.06794739,364,123.8613968,473.9299927,82.11439514,473.9299927,82.20720673,364,132.3983612,429.0700073,98.32152557,,,
365.0700073,108.2908783,471.9599915,80.78448486,365.0700073,119.1819229,475,79.67784882,475,80.58605957,365.0700073,126.9941254,430,96.29230499,,,
366,104.5234985,472.8699951,78.00134277,366,115.9591751,476.0599976,77.19342804,476.0599976,78.32415771,366,122.6709595,431.0599976,94.1245575,,,
367.0700073,96.54348755,473.9299927,76.6295929,367.0700073,110.245018,476.9599915,78.58364868,476.9599915,76.93522644,367.0700073,116.4308624,431.9599915,94.43857574,,,
368,92.46185303,474.8399963,76.97610474,368,106.5804062,478.0299988,75.0223465,478.0299988,74.37652588,368,113.6286011,433.0299988,94.92012787,,,
369.0700073,88.13075256,475.8999939,71.93963623,369.0700073,102.0181198,478.9299927,74.58302307,478.9299927,73.7277298,369.0700073,109.6424713,433.9299927,91.55846405,,,
370,89.78529358,476.9599915,73.62782288,370,98.65283203,480,72.11751556,480,71.11341858,370,108.4004211,435,90.07405853,,,
371.0700073,86.54434204,477.8699951,70.50712585,371.0700073,92.25867462,481.0599976,70.58464813,481.0599976,69.04743958,371.0700073,105.0703888,436.0599976,87.96450043,,,
372,81.36842346,478.9299927,68.38423157,372,89.26271057,481.9599915,69.71408081,481.9599915,67.83890533,372,102.0195694,436.9599915,87.47449493,,,
373.0700073,78.13957214,479.8399963,66.36952209,373.0700073,83.29324341,483.0299988,65.28507233,483.0299988,65.91383362,373.0700073,97.8582077,438.0299988,84.34777069,,,
374,74.5032196,480.8999939,64.13824463,374,76.64639282,483.9299927,66.05007935,483.9299927,64.43199158,374,93.39588165,438.9299927,83.88540649,,,
375.0700073,72.26994324,481.9599915,63.49982071,375.0700073,74.34705353,485,65.45729065,485,62.98255157,375.0700073,89.16833496,440,81.37456512,,,
376,70.69656372,482.8699951,60.52108383,376,71.30513,486.0599976,59.92126465,486.0599976,61.16487885,376,85.97065735,441.0599976,78.28485107,,,
377.0700073,66.44554138,483.9299927,59.59696579,377.0700073,66.75312042,486.9599915,59.13468933,486.9599915,59.87293243,377.0700073,81.54013062,441.9599915,76.65534973,,,
378,64.39016724,484.8399963,58.04491806,378,63.64247131,488.0299988,58.29980469,488.0299988,58.14008331,378,77.86212921,443.0299988,75.69042969,,,
379.0700073,59.55708694,485.8999939,56.15775681,379.0700073,61.11870575,488.9299927,56.00033569,488.9299927,56.65851593,379.0700073,74.38938141,443.9299927,75.24523926,,,
380,58.17142868,486.9599915,55.30139542,380,57.70308685,490,54.50614929,490,55.11943054,380,70.63187408,445,72.35943604,,,
381.0700073,55.65688705,487.8699951,54.9602623,381.0700073,55.38866425,491.0400085,51.6276474,491.0400085,53.19563293,381.0700073,67.12914276,446.0599976,71.61708069,,,
382,50.74820328,488.9299927,53.04550552,382,51.08310699,491.9400024,49.9699707,491.9400024,51.52619934,382,63.51557159,446.9599915,70.47116852,,,
383.0700073,47.76382828,489.8399963,49.34804153,383.0700073,47.75482941,492.980011,51.64891815,492.980011,50.24304962,383.0700073,59.9564743,448.0299988,69.4909668,,,
384,44.24909592,490.8900146,50.22025681,384,43.87793732,494.019989,47.72237396,494.019989,49.60678101,384,56.86193848,448.9299927,67.70349884,,,
385.0700073,42.15625,491.9400024,47.30463028,385.0700073,40.69404602,495.0700073,46.1802063,495.0700073,47.02359772,385.0700073,54.35221863,450,68.04811859,,,
386,38.24482346,492.980011,45.60317612,386,38.89592743,495.9700012,46.19341278,495.9700012,45.59790802,386,51.31797028,451.0599976,66.4149704,,,
387.0700073,35.08054733,493.8800049,45.50120926,387.0700073,37.1329422,497.0100098,45.63642883,497.0100098,45.66685486,387.0700073,48.07910156,451.9599915,65.65459442,,,
388,32.73017883,494.9200134,43.83315659,388,35.10720825,498.0499878,43.55242157,498.0499878,43.85574341,388,45.51277924,453.0299988,64.35868835,,,
