CdSe sonochem 90min ex360,,CdSe sonochem 90min ex345,,CdSe sonochem 90min ex330,,CdSe sonochem 90min em420,,CdSe sonochem 90min em515,,CdSe sonochem 90min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
440,137.2077637,424.9200134,161.5955811,410,151.4275818,310,71.56515503,330,107.5717621,464.8399963,103.1892624,
441.0599976,137.0139465,425.8399963,166.7063293,411.0599976,155.8323975,311.0700073,76.06980896,331.0700073,107.4716949,465.8999939,102.331459,
441.9599915,135.0028992,426.9200134,160.4796448,411.9599915,154.2556915,312,77.31236267,332,113.8889008,466.9599915,100.5862579,
443.0299988,136.7514954,427.8399963,158.5275879,413.0299988,152.8233185,313.0700073,80.76689148,333.0700073,114.7394104,467.8699951,99.91140747,
443.9299927,136.8628845,428.9200134,159.4483337,413.9299927,151.8636932,314,83.94044495,334,115.6688232,468.9299927,98.61083984,
445,136.7086945,429.8399963,156.6245728,415,152.5795746,315.0700073,86.44989014,335.0700073,119.4766922,469.8399963,98.73674774,
446.0599976,134.2935028,430.8999939,157.1618195,416.0599976,150.1664734,316,91.4785614,336,121.6770477,470.8999939,95.78800201,
446.9599915,134.8593292,431.9599915,155.6716003,416.9599915,148.1045532,317.0700073,97.16793823,337.0700073,126.5079651,471.9599915,97.44180298,
448.0299988,135.0229797,432.8699951,152.6835175,418.0299988,149.6900024,318,97.47155762,338,129.5317078,472.8699951,96.52144623,
448.9299927,135.0953979,433.9299927,151.9827118,418.9299927,145.0925598,319.0700073,101.9781647,339.0700073,130.0094147,473.9299927,93.89326477,
450,135.2132416,434.8399963,151.5307159,420,145.1730042,320,105.07164,340,132.5682831,474.8399963,92.16005707,
451.0599976,132.4248505,435.8999939,148.1333618,421.0700073,144.9895172,320.9299927,110.8748779,341.0700073,135.883316,475.8999939,93.447052,
451.9599915,131.7242737,436.9599915,150.9373627,422,145.9276581,322.0299988,116.6326294,342,137.3093567,476.9599915,91.04414368,
453.0299988,132.062149,437.8699951,149.2433777,423.0700073,140.2494812,322.9599915,118.9553986,343.0700073,137.6655579,477.8699951,91.15449524,
453.9299927,130.8444977,438.9299927,149.0240784,424,141.9484863,324.0599976,123.5776215,344,141.7810364,478.9299927,88.61040497,
455,132.2516785,439.8399963,145.2964935,425.0700073,140.6005249,325,125.9306335,345.0700073,147.5344391,479.8399963,89.14084625,
456.0599976,129.7789764,440.8999939,142.5034332,426,137.578186,325.9299927,131.4960785,346,148.5583191,480.8999939,87.865242,
456.9599915,128.3993378,441.9599915,141.9015961,427.0700073,135.6649017,327.0299988,135.1237488,347.0700073,150.1794586,481.9599915,87.47962189,
458.0299988,125.8429413,442.8699951,143.3019714,428,137.0577545,327.9599915,133.8376465,348,151.8224182,482.8699951,84.36177063,
458.9299927,127.4790192,443.9299927,139.5344849,429.0700073,131.7055664,329.0599976,142.1343079,349.0700073,150.7538452,483.9299927,86.46580505,
460,124.6234589,444.8399963,138.7814636,430,132.1257477,330,143.7435608,350,154.3228149,484.8399963,85.69464874,
461.0599976,121.8695068,445.8999939,136.0262451,431.0599976,129.3355713,331.0700073,148.1399536,351.0700073,156.7019196,485.8999939,86.47632599,
461.9599915,122.9302521,446.9599915,132.4537354,431.9599915,129.7053833,332,151.5516663,352,156.7260132,486.9599915,86.45944214,
463.0299988,120.9764709,447.8699951,134.4454803,433.0299988,121.358139,333.0700073,155.6697998,353.0700073,161.3226166,487.8699951,86.79549408,
463.9299927,119.2630157,448.9299927,135.4403992,433.9299927,121.9042969,334,157.7338104,354,158.6846619,488.9299927,87.07889557,
465,116.8234406,449.8399963,132.907959,435,123.4133148,335.0700073,157.9819641,355.0700073,162.8980255,489.8399963,88.35811615,
466.0599976,114.6753082,450.8999939,129.7134705,436.0599976,119.130806,336,162.4505768,356,166.0608368,490.8900146,88.41899109,
466.9599915,112.958313,451.9599915,131.7100983,436.9599915,115.7673569,337.0700073,162.8659821,357.0700073,166.4779205,491.9400024,90.00077057,
468.0299988,111.1556854,452.8699951,129.9983215,438.0299988,116.3128815,338,165.2189331,358,166.8251801,492.980011,91.32518768,
468.9299927,109.7356873,453.9299927,128.0209198,438.9299927,112.9661942,339.0700073,165.8509979,359.0700073,168.6654205,493.8800049,92.93239594,
470,108.9288025,454.8399963,126.3146515,440,111.562851,340,166.901886,360,169.9743347,494.9200134,95.85152435,
471.0599976,106.2900085,455.8999939,123.5409851,441.0599976,113.0404358,341.0700073,168.1929016,361.0700073,169.5014343,495.9700012,99.22117615,
471.9599915,104.1406403,456.9599915,121.3336487,441.9599915,109.7154694,342,168.5709076,362,169.6335602,496.8599854,101.4215317,
473.0299988,102.4760437,457.8699951,118.410141,443.0299988,106.9228821,343.0700073,170.4945984,363.0700073,171.4772644,497.9100037,105.3771973,
473.9299927,100.0655518,458.9299927,116.7182922,443.9299927,107.1659393,344,165.3925629,364,171.7927856,498.9500122,108.9469681,
475,98.78335571,459.8399963,116.3839722,445,106.8650055,345.0700073,166.6749115,365.0700073,170.8393555,499.8500061,112.3490982,
476.0599976,96.62484741,460.8999939,114.2918472,446.0599976,103.1891327,346,165.6796722,366,171.2276764,500.8900146,116.7904282,
476.9599915,96.2727356,461.9599915,114.8073349,446.9599915,103.109108,347.0700073,165.481369,367.0700073,173.5680389,501.9400024,122.0149307,
478.0299988,93.74853516,462.8699951,110.5310211,448.0299988,99.67100525,348,164.366806,368,173.7847595,502.980011,126.2956772,
478.9299927,93.37187195,463.9299927,108.5841827,448.9299927,98.77155304,349.0700073,161.108902,369.0700073,174.8341827,503.8800049,132.0795135,
480,90.43670654,464.8399963,106.8942871,450,100.4030685,350,159.211441,370,180.2897034,504.9200134,138.6061554,
481.0599976,88.49479675,465.8999939,106.2633514,451.0599976,98.7088623,351.0700073,157.2353363,371.0700073,181.4933777,505.9700012,142.9678345,
481.9599915,88.64276123,466.9599915,102.8408203,451.9599915,96.21391296,352,155.2986298,372,183.6051483,506.8599854,146.7223816,
483.0299988,87.94152832,467.8699951,99.38090515,453.0299988,96.3380661,353.0700073,152.4860535,373.0700073,182.4991455,507.9100037,151.3879395,
483.9299927,87.0224762,468.9299927,100.1145935,453.9299927,93.78509521,354,151.6700287,374,186.1798096,508.9500122,159.8008118,
485,84.87948608,469.8399963,96.22934723,455,91.00091553,355.0700073,147.9550323,375.0700073,185.1343384,509.8500061,163.8359222,
