CdSe 30 sec ex335,,CdSe 30 sec em410,,CdSe 30 sec ex340,,CdSe 30 sec em500,,CdSe 30 sec ex380,,CdSe 30 sec em420,,CdSe 30 sec ex345,,CdSe 30 sec ex350,,CdSe 30 sec ex355,,CdSe 30 sec ex360,,CdSe 30 sec ex365,,CdSe 30 sec em430,,CdSe 30 sec em440,,CdSe 30 sec em450,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
397.8399963,66.37097931,292.9599915,7.678042412,403.0700073,65.22900391,313.0700073,14.26940823,443.0299988,60.48366928,292.9599915,7.02946043,407.8399963,65.84129333,413.0299988,67.61292267,417.8699951,68.33585358,423.0700073,69.93573761,427.8399963,68.86084747,292.9599915,4.849167347,292.9599915,3.666678429,292.9599915,2.972646236,
398.9200134,65.42604065,294.0599976,9.319787025,404,67.4109726,314,15.259408,443.9299927,61.57635117,294.0599976,8.620744705,408.9200134,67.02550507,413.9299927,68.51122284,418.9299927,68.60607147,424,69.44547272,428.9200134,68.14446259,294.0599976,6.022352695,294.0599976,4.602546692,294.0599976,3.498941898,
399.8399963,64.91877747,295,10.06570911,405.0700073,66.19076538,315.0700073,15.10587597,445,62.47794724,295,8.912960052,409.8399963,67.26526642,415,69.33174896,419.8399963,69.77417755,425.0700073,71.85358429,429.8399963,69.78322601,295,6.865850925,295,4.938436508,295,4.462733746,
400.9200134,66.53141022,295.9299927,11.62933064,406,67.82305145,316,16.70647049,446.0599976,61.32394028,295.9299927,10.11791992,410.8999939,68.6955719,416.0599976,69.45820618,420.9200134,72.04179382,426,70.81776428,430.8999939,69.95435333,295.9299927,7.547027111,295.9299927,5.642122269,295.9299927,5.028805256,
401.8399963,67.64093018,297.0299988,12.53018284,407.0700073,69.04129028,317.0700073,17.06591797,446.9599915,61.90634537,297.0299988,11.04137611,411.9599915,66.80257416,416.9599915,70.76211548,421.8399963,72.70001221,427.0700073,70.88304138,431.9599915,69.71989441,297.0299988,9.009660721,297.0299988,6.727910042,297.0299988,5.928263187,
402.9200134,67.89319611,297.9599915,13.27019024,408,69.56695557,318,18.8178978,448.0299988,62.09119034,297.9599915,12.10588646,412.8699951,71.51315308,418.0299988,72.60874939,422.9200134,72.98358154,428,71.51654816,432.8699951,69.72436523,297.9599915,9.518400192,297.9599915,7.251046181,297.9599915,6.311770916,
403.8399963,68.3537674,299.0599976,14.41991138,409.0700073,66.98429871,319.0700073,17.93439865,448.9299927,62.31863785,299.0599976,13.41051102,413.9299927,69.91795349,418.9299927,73.10178375,423.8399963,72.61029053,429.0700073,72.57095337,433.9299927,70.89879608,299.0599976,10.40898705,299.0599976,8.048584938,299.0599976,6.489681721,
404.9200134,67.40141296,300,15.56313419,410,69.55281067,320,20.65246201,450,63.40510941,300,14.56238937,414.8399963,72.65111542,420,71.92617798,424.9200134,74.90225983,430,72.42645264,434.8399963,69.86425781,300,11.45187569,300,9.143017769,300,7.867641926,
405.8399963,68.83598328,301.0700073,16.67643356,411.0599976,68.89592743,320.9299927,19.95846939,451.0599976,62.13075638,301.0700073,16.30407715,415.8999939,72.3797226,421.0700073,73.43149567,425.8399963,73.83482361,431.0599976,71.80767059,435.8999939,69.1338501,301.0700073,13.06645203,301.0700073,9.703634262,301.0700073,8.37695694,
406.9200134,68.02983856,302,17.98372269,411.9599915,70.69784546,322.0299988,21.61419678,451.9599915,61.00365067,302,17.24484825,416.9599915,71.39633942,422,74.00075531,426.9200134,73.62779999,431.9599915,72.36474609,436.9599915,72.61989594,302,14.19303513,302,10.43031311,302,9.208538055,
