CdS sonochem 180min ex330-400_EX_330.00,,CdS sonochem 180min ex330-400_EX_335.00,,CdS sonochem 180min ex330-400_EX_340.00,,CdS sonochem 180min ex330-400_EX_345.00,,CdS sonochem 180min ex330-400_EX_350.00,,CdS sonochem 180min ex330-400_EX_355.00,,CdS sonochem 180min ex330-400_EX_360.00,,CdS sonochem 180min ex330-400_EX_365.00,,CdS sonochem 180min ex330-400_EX_370.00,,CdS sonochem 180min ex330-400_EX_375.00,,CdS sonochem 180min ex330-400_EX_380.00,,CdS sonochem 180min ex330-400_EX_385.00,,CdS sonochem 180min ex330-400_EX_390.00,,CdS sonochem 180min ex330-400_EX_395.00,,CdS sonochem 180min ex330-400_EX_400.00,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
456.0599976,-6.284576416,456.0599976,-1.16021347,456.0599976,7.304450989,456.0599976,12.32236862,456.0599976,18.17456818,456.0599976,23.47143936,456.0599976,27.25628662,456.0599976,28.17791748,456.0599976,30.02230072,456.0599976,29.46459198,456.0599976,26.31942749,456.0599976,20.78630829,456.0599976,17.12713242,456.0599976,9.823894501,456.0599976,4.103187561,
456.9599915,-6.429050446,456.9599915,0.114112854,456.9599915,6.8608284,456.9599915,12.1603241,456.9599915,17.31593704,456.9599915,21.83954239,456.9599915,25.76827621,456.9599915,27.20074463,456.9599915,30.27004242,456.9599915,28.82730865,456.9599915,26.82636261,456.9599915,21.66341782,456.9599915,16.81129074,456.9599915,11.04589462,456.9599915,4.861206055,
458.0299988,-7.124320984,458.0299988,-1.068599701,458.0299988,4.155326843,458.0299988,11.26388931,458.0299988,17.15464783,458.0299988,21.16389084,458.0299988,24.85702515,458.0299988,26.84835052,458.0299988,29.49280548,458.0299988,28.11846924,458.0299988,25.4185524,458.0299988,19.87709045,458.0299988,15.84485626,458.0299988,10.49101639,458.0299988,4.986991882,
458.9299927,-5.677530289,458.9299927,-0.7558174133,458.9299927,4.575748444,458.9299927,11.68069077,458.9299927,15.8638649,458.9299927,21.28611755,458.9299927,24.73859406,458.9299927,27.00191498,458.9299927,30.23038483,458.9299927,27.82951355,458.9299927,24.08429718,458.9299927,20.96532822,458.9299927,16.26058578,458.9299927,10.73540878,458.9299927,4.956863403,
460,-6.42193985,460,-2.358005524,460,5.062149048,460,11.08384323,460,15.31468201,460,19.93474579,460,23.82694626,460,24.43717575,460,28.78500366,460,27.54354858,460,25.02697754,460,21.31616974,460,16.24927139,460,10.16029358,460,5.959522247,
461.0599976,-8.226034164,461.0599976,-2.951538086,461.0599976,2.994987488,461.0599976,10.2180481,461.0599976,16.73819733,461.0599976,19.8976593,461.0599976,23.39588547,461.0599976,26.45885468,461.0599976,26.89662933,461.0599976,26.58071899,461.0599976,24.68482208,461.0599976,20.46046448,461.0599976,16.49361038,461.0599976,10.5295105,461.0599976,6.08713913,
461.9599915,-8.265037537,461.9599915,-3.737453461,461.9599915,3.342609406,461.9599915,8.751403809,461.9599915,13.62156677,461.9599915,19.88484192,461.9599915,22.68741608,461.9599915,24.94234085,461.9599915,27.41043091,461.9599915,25.94244003,461.9599915,24.4921875,461.9599915,21.28387451,461.9599915,16.46505356,461.9599915,10.5321579,461.9599915,5.687210083,
463.0299988,-9.492799759,463.0299988,-2.745094299,463.0299988,2.585968018,463.0299988,9.320896149,463.0299988,13.98324585,463.0299988,17.78226852,463.0299988,22.74978638,463.0299988,23.70731354,463.0299988,26.50532532,463.0299988,26.18638229,463.0299988,23.20407486,463.0299988,19.1883812,463.0299988,15.65703201,463.0299988,10.5446434,463.0299988,5.707393646,
463.9299927,-8.594022751,463.9299927,-4.416988373,463.9299927,1.082798004,463.9299927,8.131633759,463.9299927,12.80772781,463.9299927,18.25522995,463.9299927,21.21076965,463.9299927,23.68858337,463.9299927,25.76369476,463.9299927,24.24872589,463.9299927,23.4389534,463.9299927,20.3186264,463.9299927,15.88066483,463.9299927,10.53958511,463.9299927,5.172035217,
465,-9.643062592,465,-3.999694824,465,1.23922348,465,6.191520691,465,11.78069305,465,16.49511337,465,20.22133636,465,22.44463348,465,25.47406769,465,25.00099945,465,22.43558502,465,18.02472305,465,15.25792694,465,10.09337997,465,6.224212646,
