CdSe sonochem 30min ex300,,CdSe sonochem 30min ex300 slit10nm,,CdSe sonochem 30min ex375 slit10nm,,CdSe sonochem 30min slit10nm ex320,,CdSe sonochem 30min slit10nm em600,,CdSe sonochem 30min slit10nm ex420,,CdSe sonochem 30min slit10nm em610,,CdSe sonochem 30min slit10nm ex485,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
438.0299988,0.9314665198,448.0299988,10.21853828,,,468.0299988,-8.744176865,448.0299988,117.2701874,568.0499878,149.9490356,448.0299988,10.7973938,622.9400024,18.59964561,
438.9299927,1.086064219,448.9299927,9.520493507,,,468.9299927,-8.493924141,448.9299927,117.1517639,568.9500122,153.616684,448.9299927,10.71022606,623.9699707,18.34760857,
440,1.135010004,450,9.500271797,,,470,-10.37340069,450,118.8371124,570,154.3712769,450,11.21813202,624.8499756,18.20821381,
441.0599976,0.838968873,451.0599976,9.625953674,,,471.0599976,-9.457619667,451.0599976,116.5326538,571.0200195,156.717804,451.0599976,10.98777008,625.8800049,18.33111954,
441.9599915,0.9847186208,451.9599915,9.859288216,,,471.9599915,-9.795751572,451.9599915,118.9896545,572.0499878,159.9641876,451.9599915,10.92641258,626.9099731,18.2133503,
443.0299988,1.002437472,453.0299988,9.014129639,,,473.0299988,-10.42519474,453.0299988,116.879364,572.9400024,161.5482025,453.0299988,10.64897537,627.9400024,18.18755341,
443.9299927,0.7826453447,453.9299927,9.115197182,,,473.9299927,-10.2266264,453.9299927,118.6970825,573.9699707,162.9671021,453.9299927,10.71199989,628.9699707,18.11616135,
445,1.150850773,455,8.529427528,,,475,-11.10839748,455,119.1990509,575,163.6219482,455,10.64852333,629.8499756,17.63606453,
446.0599976,1.121712804,456.0599976,8.540088654,,,476.0599976,-10.85976791,456.0599976,120.6932831,576.0200195,166.4014587,456.0599976,11.50442505,630.8599854,17.85799789,
446.9599915,0.7646864653,456.9599915,8.336782455,,,476.9599915,-10.39132977,456.9599915,122.6212311,577.0499878,168.0695343,456.9599915,11.52772141,631.8800049,17.75102806,
448.0299988,1.125457644,458.0299988,8.184978485,,,478.0299988,-11.2433691,458.0299988,121.8551025,577.9400024,169.0922089,458.0299988,11.45337677,632.8900146,17.53028107,
448.9299927,0.8874893785,458.9299927,7.838301659,,,478.9299927,-11.53577423,458.9299927,124.0707092,578.9699707,170.5158386,458.9299927,11.60215569,633.9099731,17.71507645,
450,0.8021484613,460,7.7140522,,,480,-11.60282516,460,124.3680725,580,172.423172,460,11.28893089,634.9199829,17.62917328,
451.0599976,0.9028292894,461.0599976,7.486290932,,,481.0599976,-12.38389969,461.0599976,124.8024445,581.0200195,172.3886414,461.0599976,11.55446053,635.9400024,17.42099571,
