CdS sonochem 60min ex300,,CdS sonochem 60min em400,,CdS sonochem 60min ex330,,CdS sonochem 60min em410,,CdS sonochem 60min ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
416.9599915,138.5091553,347.0700073,186.5331573,446.9599915,137.5616455,347.0700073,216.9596405,451.9599915,143.941452,
418.0299988,138.291275,348,183.9999847,448.0299988,135.2909241,348,207.6435394,452.8699951,139.6173553,
418.9299927,135.350647,349.0700073,179.7458496,448.9299927,133.7369537,349.0700073,205.1350708,453.9299927,134.3538361,
420,135.3799896,350,173.3344269,450,129.8270416,350,203.916687,454.8399963,135.0746155,
421.0700073,137.6988678,351.0700073,165.1026764,451.0599976,125.4250031,351.0700073,198.5416107,455.8999939,131.4402008,
422,135.9055634,352,161.8306274,451.9599915,125.2779083,352,193.2947388,456.9599915,131.4078217,
423.0700073,136.0996094,353.0700073,157.0818329,453.0299988,122.7419891,353.0700073,182.960434,457.8699951,125.8210602,
424,137.7486115,354,151.5055695,453.9299927,120.469635,354,180.3604279,458.9299927,124.4441376,
425.0700073,136.5857697,355.0700073,148.4604034,455,118.9054108,355.0700073,173.5073395,459.8399963,120.3274231,
426,135.2955475,356,141.6257172,456.0599976,115.5126343,356,172.4965057,460.8999939,118.4923706,
427.0700073,133.2980957,357.0700073,135.9042358,456.9599915,114.3342133,357.0700073,164.8655701,461.9599915,116.7000885,
428,131.9337463,358,127.0641785,458.0299988,110.1876068,358,159.3261719,462.8699951,113.3354187,
429.0700073,130.0557404,359.0700073,124.6142883,458.9299927,108.8866425,359.0700073,153.603241,463.9299927,112.8103485,
430,127.3433685,360,117.6235046,460,109.1773071,360,148.436264,464.8399963,111.8539886,
431.0599976,127.2667847,361.0700073,110.6951904,461.0599976,104.0075226,361.0700073,145.9539795,465.8999939,107.9466705,
431.9599915,127.5899353,362,105.4878387,461.9599915,103.2815094,362,141.5536804,466.9599915,105.0098267,
433.0299988,123.9449005,363.0700073,100.1575928,463.0299988,101.1805573,363.0700073,137.7247162,467.8699951,103.5190887,
433.9299927,120.8334198,364,97.21311951,463.9299927,100.7919769,364,133.5007477,468.9299927,104.1155853,
435,118.2585907,365.0700073,91.19451904,465,96.01320648,365.0700073,125.9343262,469.8399963,99.1946106,
436.0599976,119.1160431,366,83.23401642,466.0599976,95.75471497,366,121.160141,470.8999939,97.52175903,
436.9599915,114.7687378,367.0700073,78.14512634,466.9599915,95.40830994,367.0700073,114.2614899,471.9599915,95.80108643,
438.0299988,113.3267059,368,72.22373199,468.0299988,90.82888031,368,108.6398926,472.8699951,91.09257507,
438.9299927,110.422287,369.0700073,67.13407898,468.9299927,89.24346924,369.0700073,103.2237778,473.9299927,91.92297363,
440,110.0869751,370,64.72070313,470,85.89254761,370,98.4365387,474.8399963,89.75834656,
441.0599976,108.3838654,371.0700073,58.89567566,471.0599976,86.19490814,371.0700073,92.35877228,475.8999939,87.77937317,
441.9599915,105.4142761,372,55.86553955,471.9599915,82.60980988,372,87.44487762,476.9599915,86.42799377,
443.0299988,102.5999298,373.0700073,50.14524841,473.0299988,79.47293854,373.0700073,80.65166473,477.8699951,82.31790161,
443.9299927,99.70903015,374,45.18156433,473.9299927,79.23823547,374,75.56918335,478.9299927,81.2514801,
445,98.43228149,375.0700073,42.6055336,475,78.19956207,375.0700073,72.52036285,479.8399963,80.72679138,
446.0599976,96.77886963,376,39.45010376,476.0599976,72.52818298,376,69.03850555,480.8999939,78.02780151,
446.9599915,97.68363953,377.0700073,36.55228424,476.9599915,74.18817902,377.0700073,65.72890472,481.9599915,73.48275757,
448.0299988,92.49810791,378,34.28958511,478.0299988,70.21097565,378,62.80291748,482.8699951,73.66307068,
448.9299927,91.97895813,379.0700073,30.30945969,478.9299927,70.49253082,379.0700073,58.49115753,483.9299927,68.80151367,
450,91.57034302,380,27.21743393,480,68.25653076,380,54.90647888,484.8399963,68.9899292,
451.0599976,89.98774719,381.0700073,23.96673203,481.0599976,65.10838318,381.0700073,49.65077209,485.8999939,67.94244385,
451.9599915,87.04621887,382,21.2103653,481.9599915,65.13904572,382,47.00705719,486.9599915,65.51792908,
453.0299988,88.17146301,383.0700073,18.34399033,483.0299988,62.66783905,383.0700073,43.55603027,487.8699951,65.22032166,
453.9299927,86.06921387,384,17.10145569,483.9299927,63.50521088,384,40.197052,488.9299927,62.01119614,
455,86.3260498,385.0700073,13.26308441,485,59.7895813,385.0700073,37.05109406,489.8399963,59.90830612,
456.0599976,84.81561279,386,11.01566315,486.0599976,58.31815338,386,34.07018661,490.8900146,57.68741226,
456.9599915,83.44345093,387.0700073,8.992822647,486.9599915,56.23635101,387.0700073,31.34473038,491.9400024,54.93717575,
458.0299988,79.15112305,388,7.08436203,488.0299988,53.32835388,388,27.73842239,492.980011,55.12430191,
458.9299927,78.66886902,389.0700073,4.855718613,488.9299927,51.70307159,389.0700073,25.76768112,493.8800049,54.0886879,
460,80.44500732,390,3.090869904,490,50.69439697,390,23.19433594,494.9200134,51.7934761,
461.0599976,78.248703,,,491.0400085,50.46117401,391.0599976,20.44432831,495.9700012,49.30133438,
461.9599915,77.64016724,,,491.9400024,46.99685669,391.9599915,18.54590988,496.8599854,48.47274399,
463.0299988,73.30267334,,,492.980011,44.96801758,393.0299988,15.54221725,497.9100037,45.86551285,
463.9299927,75.2592926,,,494.019989,44.5039978,393.9299927,14.01127625,498.9500122,46.63636398,
465,73.16604614,,,495.0700073,42.9305954,395,12.1374321,499.8500061,44.41820145,
466.0599976,73.34489441,,,495.9700012,41.98113251,396.0599976,10.40017128,500.8900146,45.0906868,
466.9599915,71.04443359,,,497.0100098,40.5454483,396.9599915,8.261299133,501.9400024,41.12140274,
468.0299988,68.96237183,,,498.0499878,38.43598175,398.0299988,6.978590012,502.980011,41.90294266,
468.9299927,68.54161072,,,498.9500122,37.73803711,398.9299927,3.966531754,503.8800049,40.90797043,
470,66.62756348,,,500,38.14801788,400,3.310586929,504.9200134,38.23450089,
471.0599976,66.57746887,,,,,,,505.9700012,37.95164871,
471.9599915,64.79611206,,,,,,,506.8599854,36.35827255,
473.0299988,63.39848709,,,,,,,507.9100037,33.27942657,
473.9299927,62.8117485,,,,,,,508.9500122,33.37052536,
475,61.82162094,,,,,,,509.8500061,32.24783325,
476.0599976,58.55611801,,,,,,,510.8999939,29.72455215,
476.9599915,59.61233902,,,,,,,511.9599915,30.96782684,
478.0299988,59.36783218,,,,,,,512.8699951,29.39945602,
478.9299927,56.17353439,,,,,,,513.9299927,26.25934982,
480,54.56214523,,,,,,,514.8400269,27.97502136,
481.0599976,53.88219833,,,,,,,515.9000244,25.19429398,
481.9599915,53.37227249,,,,,,,516.960022,25.55932617,
483.0299988,51.60348892,,,,,,,517.8699951,24.83101654,
483.9299927,51.60716629,,,,,,,518.9299927,22.92226028,
485,51.13635635,,,,,,,519.8400269,22.48000336,
486.0599976,48.1896553,,,,,,,520.8900146,21.89757919,
486.9599915,48.8021431,,,,,,,521.9400024,19.44644547,
488.0299988,46.53926468,,,,,,,522.9799805,18.00188065,
488.9299927,45.74502945,,,,,,,523.8800049,17.80633545,
490,46.23102188,,,,,,,524.9199829,15.95040131,
491.0400085,44.50859451,,,,,,,525.9699707,17.21043777,
491.9400024,43.54852676,,,,,,,526.8599854,15.1487999,
492.980011,41.26657486,,,,,,,527.9099731,14.90982437,
494.019989,39.87288666,,,,,,,528.9500122,14.97336197,
495.0700073,40.453228,,,,,,,529.8499756,12.51305008,
495.9700012,38.89283371,,,,,,,530.8900146,13.12916946,
497.0100098,37.54094315,,,,,,,531.9400024,11.29549789,
498.0499878,36.688591,,,,,,,532.9799805,10.84856415,
498.9500122,35.03538132,,,,,,,533.8800049,9.919597626,
500,34.86857605,,,,,,,534.9199829,9.166702271,
,,,,,,,,535.9699707,8.455673218,
,,,,,,,,536.8599854,8.110652924,
,,,,,,,,537.9099731,6.655246735,
,,,,,,,,538.9500122,5.926834106,
,,,,,,,,539.8499756,6.429508209,
,,,,,,,,540.8800049,5.602607727,
,,,,,,,,541.9099731,4.391944885,
,,,,,,,,542.9400024,4.445550919,
,,,,,,,,543.9699707,3.008008957,
,,,,,,,,544.8499756,3.062675476,
,,,,,,,,545.8800049,2.476219177,
,,,,,,,,546.9099731,2.140544891,
,,,,,,,,547.9400024,1.977514267,
,,,,,,,,548.9699707,0.4852733612,
,,,,,,,,549.8499756,0.3078861237,
,,,,,,,,550.8900146,0.02599716187,
,,,,,,,,551.9400024,0.4264431,
,,,,,,,,552.9799805,-2.049137115,
,,,,,,,,553.8800049,-1.54242897,
,,,,,,,,554.9199829,-1.719976425,
,,,,,,,,555.9699707,-1.908378601,
,,,,,,,,556.8599854,-3.599143982,
,,,,,,,,557.9099731,-3.861484528,
,,,,,,,,558.9500122,-2.954090118,
,,,,,,,,559.8499756,-4.416671753,
,,,,,,,,560.8900146,-4.784788132,
,,,,,,,,561.9400024,-5.828266144,
,,,,,,,,562.9799805,-4.601049423,
,,,,,,,,563.8800049,-5.230079651,
,,,,,,,,564.9199829,-7.46040535,
,,,,,,,,565.9699707,-7.422595978,
,,,,,,,,566.8599854,-6.906703949,
,,,,,,,,567.9099731,-5.797742844,
,,,,,,,,568.9500122,-7.472343445,
,,,,,,,,569.8499756,-8.82591629,
,,,,,,,,570.8800049,-9.05283165,
,,,,,,,,571.9099731,-8.887069702,
,,,,,,,,572.9400024,-9.443470001,
,,,,,,,,573.9699707,-10.47871017,
,,,,,,,,574.8499756,-9.088949203,
,,,,,,,,575.8800049,-11.20142746,
,,,,,,,,576.9099731,-9.440734863,
,,,,,,,,577.9400024,-11.02079487,
,,,,,,,,578.9699707,-10.44381905,
,,,,,,,,579.8499756,-10.4825592,
,,,,,,,,580.8800049,-11.66567707,
,,,,,,,,581.9099731,-12.29936886,
,,,,,,,,582.9400024,-12.30251312,
,,,,,,,,583.9699707,-11.32060146,
,,,,,,,,584.8499756,-12.31464767,
,,,,,,,,585.8800049,-13.23340225,
,,,,,,,,586.9099731,-13.13684464,
,,,,,,,,587.9400024,-13.88295555,
,,,,,,,,588.9699707,-13.26916027,
,,,,,,,,589.8499756,-14.04251575,
,,,,,,,,590.8800049,-14.0177393,
,,,,,,,,591.9099731,-13.5553751,
,,,,,,,,592.9400024,-14.39720249,
,,,,,,,,593.9699707,-14.14918518,
,,,,,,,,594.8499756,-14.67070007,
,,,,,,,,595.8800049,-14.70942116,
,,,,,,,,596.9099731,-15.29306126,
,,,,,,,,597.9400024,-15.90606785,
,,,,,,,,598.9699707,-15.69367409,
,,,,,,,,599.8499756,-16.58648872,
,,,,,,,,600.8800049,-15.9065609,

CdS sonochem 60min ex300,
CdS sonochem 60min ex300
Collection Time: 8/19/2022 12:27:44 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        310.00
Stop (nm)                         500.00
Ex. Wavelength (nm)               300.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:23:28 PM
Method Modifications:
Overlayed Graphs Changed: 8/19/2022 12:24:53 PM, Old:OFF, New:ON
Y max Changed: 8/19/2022 12:24:53 PM, Old:  1000.0000, New:   300.0000
Excitation Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 350.00, New: 300.00
Emission Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 400.00, New: 310.00
Stop Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 600.00, New: 500.00
Zero Mode Changed: 8/19/2022 12:27:22 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:27:22 PM, Old:Reading, New:ON
End Method Modifications

CdS sonochem 60min em400,
CdS sonochem 60min em400
Collection Time: 8/19/2022 12:28:39 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        240.00
Stop (nm)                         390.00
Em. Wavelength (nm)               400.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:23:28 PM
Method Modifications:
Overlayed Graphs Changed: 8/19/2022 12:24:53 PM, Old:OFF, New:ON
Y max Changed: 8/19/2022 12:24:53 PM, Old:  1000.0000, New:   300.0000
Excitation Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 350.00, New: 300.00
Emission Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 400.00, New: 310.00
Stop Wavelength Changed: 8/19/2022 12:27:20 PM, Old: 600.00, New: 500.00
