CdS sonochem 180min em420,,CdS sonochem 180min ex360,,CdS sonochem 180min em440,,CdS sonochem 180min ex365,,CdS sonochem 180min ex370,,CdS sonochem 180min em512,,CdS sonochem 180min ex400,,CdS sonochem 180min em515,,CdS sonochem 180min em435,,CdS sonochem 180min ex295,,CdS sonochem 180min em400,,CdS sonochem 180min ex340,,CdS sonochem 180min em425,,CdS sonochem 180min ex385,,CdS sonochem 180min ex365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
287.0299988,-0.1434156895,416.9599915,54.2463913,287.0299988,-1.050168276,421.8399963,57.98055267,427.0700073,59.5512352,287.0299988,-2.326723099,456.9599915,33.52168274,287.0299988,-2.690197229,287.0299988,-0.7715642452,352,1.638542414,287.0299988,0.2597868443,397.0700073,32.11677933,287.0299988,-1.225964308,441.9599915,48.22070313,421.8399963,57.08921051,
287.9599915,-0.3735821247,418.0299988,56.44109344,287.9599915,-1.025652885,422.9200134,61.00894165,428,62.00511551,287.9599915,-2.222038746,458.0299988,33.45437622,287.9599915,-2.477021694,287.9599915,-0.5466804504,353.0700073,1.56460464,287.9599915,0.3532912731,398,33.12831879,287.9599915,-0.9813957214,442.8699951,49.02432632,422.9200134,57.76337814,
289.0599976,-0.3150053024,418.9299927,57.24551392,289.0599976,-0.8648295403,423.8399963,60.24856949,429.0700073,62.45378494,289.0599976,-1.888549805,458.9299927,34.29924011,289.0599976,-1.768994093,289.0599976,-0.4300835133,354,1.673038006,289.0599976,0.2353577614,399.0700073,33.73906708,289.0599976,-0.9350948334,443.9299927,48.52302933,423.8399963,59.03808594,
290,0.2907505035,420,58.69208145,290,-0.4574916363,424.9200134,60.43760681,430,62.84495926,290,-1.586992979,460,32.70496368,290,-1.749983788,290,-0.2337324619,355.0700073,1.867367983,290,0.5982031822,400,34.50623322,290,-0.4164817333,444.8399963,49.51442337,424.9200134,61.10292053,
290.9299927,0.5967884064,421.0700073,61.03495407,290.9299927,-0.4428627491,425.8399963,62.64163208,431.0599976,63.19626999,290.9299927,-1.376648664,461.0599976,34.51023865,290.9299927,-1.613115788,290.9299927,0.123667717,356,1.652854562,290.9299927,0.4622414112,401.0700073,35.30400848,290.9299927,-0.4245107174,445.8999939,49.93516159,425.8399963,60.41087341,
292.0299988,0.5690042973,422,61.20904922,292.0299988,-0.1387553215,426.9200134,61.66904449,431.9599915,63.84875107,292.0299988,-1.011895657,461.9599915,34.13762665,292.0299988,-1.049078465,292.0299988,0.3990082741,357.0700073,1.667088151,292.0299988,1.354530573,402,36.19185638,292.0299988,0.05979466438,446.9599915,51.00180817,426.9200134,62.04571533,
292.9599915,0.967446804,423.0700073,61.25160599,292.9599915,-0.2165501118,427.8399963,63.62483978,433.0299988,62.71837997,292.9599915,-0.4534263611,463.0299988,34.13486481,292.9599915,-0.9526748657,292.9599915,0.4728581905,358,2.064462662,292.9599915,1.665835857,403.0700073,38.78774643,292.9599915,-0.03969502449,447.8699951,50.14758682,427.8399963,63.01857758,
294.0599976,1.251643419,424,62.12044907,294.0599976,0.4940032959,428.9200134,64.20916748,433.9299927,65.01400757,294.0599976,-0.2376770973,463.9299927,33.97409058,294.0599976,-0.6009860039,294.0599976,0.7904832363,359.0700073,2.067394018,294.0599976,2.028506517,404,39.41151428,294.0599976,0.7346980572,448.9299927,51.11541748,428.9200134,63.93148804,
295,1.906882524,425.0700073,62.65352249,295,1.072235584,429.8399963,63.98231506,435,65.3323822,295,0.3593344688,465,34.45963287,295,-0.09892702103,295,1.085915804,360,2.0753479,295,2.537050009,405.0700073,39.16300201,295,0.8779656887,449.8399963,51.45764542,429.8399963,63.4469986,
295.9299927,2.125660658,426,64.58913422,295.9299927,1.168888092,430.8999939,63.88691711,436.0599976,65.14469147,295.9299927,0.5028729439,466.0599976,34.31759644,295.9299927,0.4115848541,295.9299927,1.517172098,361.0700073,2.119506359,295.9299927,2.869930029,406,40.33778763,295.9299927,1.060366869,450.8999939,51.53510666,430.8999939,63.2750473,
