CdS 50sec ex310,,CdS 50sec em375,,CdS 50sec em385,,CdS 50sec em380,,CdS 50sec em375,,CdS 50sec ex300,,CdS 60sec ex300,,CdS 60sec em380,,CdS 60sec em390,,CdS 60sec ex325,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
413.9299927,84.0967865,334,61.06361771,334,66.30989838,334,61.09954071,334,52.04288101,413.9299927,60.80711365,413.9299927,39.34384537,334,86.2693634,334,102.5996017,428.9200134,81.18796539,
415,82.07652283,335.0700073,56.82633591,335.0700073,66.35507202,335.0700073,57.53942108,335.0700073,50.66213989,415,60.97290039,415,37.71557236,335.0700073,81.18920135,335.0700073,97.3473587,429.8399963,78.65135956,
416.0599976,79.1460495,336,51.82659531,336,60.40419006,336,53.78340912,336,47.35935974,416.0599976,58.40247345,416.0599976,38.50304794,336,80.64546967,336,90.87496948,430.8999939,75.1687088,
416.9599915,79.28394318,337.0700073,48.10563278,337.0700073,59.03669739,337.0700073,51.96129227,337.0700073,43.93272781,416.9599915,59.5644455,416.9599915,38.29567337,337.0700073,72.73441315,337.0700073,87.54425049,431.9599915,76.03829193,
418.0299988,77.23054504,338,45.34534073,338,56.71826172,338,48.0164032,338,42.03858566,418.0299988,56.41924286,418.0299988,36.81475449,338,68.05799866,338,86.87747955,432.8699951,75.34933472,
418.9299927,77.42970276,339.0700073,40.11890411,339.0700073,53.17456055,339.0700073,47.46328354,339.0700073,39.09061813,418.9299927,54.25090027,418.9299927,36.72779846,339.0700073,65.09471893,339.0700073,81.61720276,433.9299927,70.80919647,
420,74.16544342,340,35.69496536,340,50.46904755,340,47.24179077,340,34.53846741,420,53.71945953,420,35.80348587,340,61.62016296,340,78.4533844,434.8399963,70.6180191,
421.0700073,72.38682556,341.0700073,31.5743866,341.0700073,50.11166382,341.0700073,43.03710556,341.0700073,31.34194565,421.0700073,53.68002319,421.0700073,35.14813232,341.0700073,58.30541229,341.0700073,77.62628174,435.8999939,68.6348877,
422,71.23743439,342,28.61513901,342,48.49267197,342,41.18919754,342,28.87527084,422,53.42683411,422,34.26047134,342,57.1971817,342,72.03126526,436.9599915,67.22476959,
423.0700073,69.98597717,343.0700073,25.28930283,343.0700073,45.78042603,343.0700073,39.108078,343.0700073,27.65887833,423.0700073,50.79568481,423.0700073,34.11933136,343.0700073,52.41385269,343.0700073,72.17650604,437.8699951,66.57141113,
424,68.67010498,344,24.63222122,344,46.3744812,344,36.95998383,344,24.87163162,424,50.87898254,424,33.40397644,344,48.93375778,344,68.92041779,438.9299927,64.50495148,
425.0700073,67.44446564,345.0700073,21.23809433,345.0700073,44.57751083,345.0700073,32.76962662,345.0700073,22.01940918,425.0700073,48.70423126,425.0700073,31.56451416,345.0700073,45.28273392,345.0700073,67.20565033,439.8399963,62.85593414,
426,65.24031067,346,18.98709488,346,43.1913147,346,31.29692841,346,21.1713829,426,47.97251129,426,31.37591934,346,42.84066391,346,66.07305145,440.8999939,63.25297546,
427.0700073,63.68780518,347.0700073,19.51984024,347.0700073,41.40729523,347.0700073,29.80670929,347.0700073,19.23939514,427.0700073,47.26303101,427.0700073,31.49396896,347.0700073,39.86795807,347.0700073,61.79799652,441.9599915,61.95346832,
428,62.76212311,348,17.30731964,348,40.19913483,348,28.14070511,348,19.03462219,428,47.83747864,428,30.25923538,348,37.50481033,348,60.99626923,442.8699951,61.41307068,
429.0700073,61.58724213,349.0700073,15.16405582,349.0700073,36.93200302,349.0700073,26.40294266,349.0700073,17.24343109,429.0700073,47.15640259,429.0700073,29.36450958,349.0700073,36.75111389,349.0700073,59.1647644,443.9299927,59.49593353,
430,59.72931671,350,14.55000401,350,34.18273926,350,25.74750137,350,15.56132221,430,44.54141235,430,29.62406158,350,34.2609787,350,56.59388733,444.8399963,56.27559662,
431.0599976,59.30474091,351.0700073,13.81102848,351.0700073,31.65458679,351.0700073,23.24380112,351.0700073,13.86718082,431.0599976,43.68203735,431.0599976,28.18397903,351.0700073,33.09654617,351.0700073,55.84998322,445.8999939,57.80487823,
431.9599915,57.56491852,352,12.39681721,352,30.98983002,352,23.22103882,352,14.66076565,431.9599915,43.44291687,431.9599915,27.92950821,352,31.15180588,352,54.0160675,446.9599915,56.22597504,
433.0299988,55.86705017,353.0700073,10.38832951,353.0700073,29.96965027,353.0700073,21.71046448,353.0700073,12.75139332,433.0299988,42.42260742,433.0299988,26.85142517,353.0700073,27.73728943,353.0700073,48.73496628,447.8699951,54.05139923,
433.9299927,55.08440399,354,10.7120409,354,28.24213409,354,19.69597816,354,11.76748943,433.9299927,41.29174805,433.9299927,26.15080643,354,26.70586395,354,45.882061,448.9299927,53.11027527,
