CdS 180sec em380,,CdS 180sec ex310,,CdS 180sec em365,,CdS 180sec ex260,,CdS 180sec em285,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,505.0700073,23.63691139,,,450,20.78123093,,,
,,505.9700012,22.55496407,,,451.0599976,20.84559631,,,
,,507.0100098,23.06001091,,,451.9599915,21.60165787,,,
,,508.0499878,21.11884117,,,453.0299988,20.70168686,,,
,,508.9500122,21.26529694,,,453.9299927,20.55834961,,,
,,510,21.03572845,,,455,20.88038635,,,
,,511.0599976,20.55103493,,,456.0599976,20.42232132,,,
,,511.9599915,18.64710426,,,456.9599915,19.97304153,,,
,,513.0300293,20.17981529,,,458.0299988,20.26528168,,,
,,513.9299927,18.37744904,,,458.9299927,20.08602524,,,
,,515,18.80456543,,,460,18.89368057,,,
,,516.0599976,17.6406498,,,461.0599976,19.55013657,,,
,,516.960022,17.33948135,,,461.9599915,18.44049454,,,
,,518.0300293,16.79491043,,,463.0299988,18.79043961,,,
,,518.9299927,16.68634033,,,463.9299927,18.79277802,,,
,,520,15.97395706,,,465,16.81355667,,,
,,521.039978,14.83450508,,,466.0599976,17.90071487,,,
,,521.9400024,15.17513275,,,466.9599915,17.9320488,,,
,,522.9799805,15.22449112,,,468.0299988,17.22057724,,,
,,524.0200195,14.89692116,,,468.9299927,16.71221161,,,
,,525.0700073,14.07931709,,,470,16.4202919,,,
,,525.9699707,13.71926689,,,471.0599976,15.92069626,,,
,,527.0100098,13.65740967,,,471.9599915,14.7651329,,,
,,528.0499878,14.05689812,,,473.0299988,15.65314102,,,
,,528.9500122,12.28306389,,,473.9299927,15.81068039,,,
,,530,11.77817535,,,475,14.11278152,,,
,,531.039978,12.4781189,,,476.0599976,14.50091553,,,
,,531.9400024,11.56394196,,,476.9599915,14.05521393,,,
,,532.9799805,11.15836525,,,478.0299988,13.79138565,,,
,,534.0200195,10.94264412,,,478.9299927,12.9613533,,,
,,535.0700073,10.64024544,,,480,12.92023849,,,
,,535.9699707,10.80924034,,,481.0599976,13.41117859,,,
,,537.0100098,10.12444496,,,481.9599915,12.49720001,,,
,,538.0499878,9.494455338,,,483.0299988,11.36851311,,,
,,538.9500122,10.21469879,,,483.9299927,11.34039879,,,
,,540,9.604097366,,,485,12.05573654,,,
,,541.0200195,9.340219498,,,486.0599976,10.88812256,,,
,,542.0499878,8.292087555,,,486.9599915,9.708108902,,,
,,542.9400024,7.808311462,,,488.0299988,10.5388298,,,
,,543.9699707,8.388782501,,,488.9299927,9.442779541,,,
,,545,7.037605286,,,490,8.417243958,,,
,,546.0200195,7.568778992,,,491.0400085,8.102493286,,,
,,547.0499878,7.097089767,,,491.9400024,9.846845627,,,
,,547.9400024,7.109766006,,,492.980011,8.354240417,,,
,,548.9699707,6.200063705,,,494.019989,8.251020432,,,
,,550,6.636810303,,,495.0700073,7.291212082,,,
,,551.039978,6.235002518,,,495.9700012,7.476449966,,,
,,551.9400024,5.630648613,,,497.0100098,6.698226929,,,
,,552.9799805,6.243854523,,,498.0499878,6.542678833,,,
,,554.0200195,4.810884476,,,498.9500122,6.742389679,,,
,,555.0700073,4.961371422,,,500,5.367139816,,,
,,555.9699707,5.473525047,,,,,,,
,,557.0100098,5.12210083,,,,,,,
,,558.0499878,4.079561234,,,,,,,
,,558.9500122,4.728384018,,,,,,,
,,560,3.968882561,,,,,,,
,,561.039978,4.353280067,,,,,,,
,,561.9400024,3.117938042,,,,,,,
,,562.9799805,3.499517441,,,,,,,
,,564.0200195,2.995975494,,,,,,,
,,565.0700073,2.44690609,,,,,,,
,,565.9699707,2.614644051,,,,,,,
,,567.0100098,2.266945839,,,,,,,
,,568.0499878,2.126643181,,,,,,,
,,568.9500122,1.824473381,,,,,,,
,,570,2.318762779,,,,,,,
,,571.0200195,1.752038002,,,,,,,
,,572.0499878,2.004130363,,,,,,,
,,572.9400024,2.336488724,,,,,,,
,,573.9699707,1.057557106,,,,,,,
,,575,0.9990625381,,,,,,,
,,576.0200195,0.8568401337,,,,,,,
,,577.0499878,1.618394852,,,,,,,
,,577.9400024,1.244895935,,,,,,,
,,578.9699707,0.8446159363,,,,,,,
,,580,-0.17004776,,,,,,,
,,581.0200195,0.06060504913,,,,,,,
,,582.0499878,-0.1893615723,,,,,,,
,,582.9400024,-0.3424930573,,,,,,,
,,583.9699707,-0.6777191162,,,,,,,
,,585,-0.2654628754,,,,,,,
,,586.0200195,-0.837729454,,,,,,,
,,587.0499878,-0.7556428909,,,,,,,
,,587.9400024,-0.7575702667,,,,,,,
,,588.9699707,-1.387996674,,,,,,,
,,590,-1.604753494,,,,,,,
,,591.0200195,-1.896803856,,,,,,,
,,592.0499878,-1.770610809,,,,,,,
,,592.9400024,-1.580857277,,,,,,,
,,593.9699707,-1.622140884,,,,,,,
,,595,-1.841785431,,,,,,,
,,596.0200195,-1.884700775,,,,,,,
,,597.0499878,-1.996718407,,,,,,,
,,597.9400024,-2.017438889,,,,,,,
,,598.9699707,-2.157901764,,,,,,,
,,600,-2.241289616,,,,,,,

CdS 180sec em380,
CdS 180sec em380
Collection Time: 8/19/2022 12:53:32 PM
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          E08013467
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        240.00
Stop (nm)                         370.00
Em. Wavelength (nm)               380.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/19/2022 12:24:03 PM
Method Modifications:
Scan mode: Changed: 8/19/2022 12:26:51 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:26:51 PM, Old: 350.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:26:51 PM, Old: 400.00, New: 375.00
Stop Wavelength Changed: 8/19/2022 12:26:51 PM, Old: 600.00, New: 360.00
Zero Mode Changed: 8/19/2022 12:27:17 PM, Old:OFF, New:Reading
Zero Mode Changed: 8/19/2022 12:27:17 PM, Old:Reading, New:ON
Overlayed Graphs Changed: 8/19/2022 12:28:28 PM, Old:OFF, New:ON
Scan mode: Changed: 8/19/2022 12:28:47 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:28:47 PM, Old: 240.00, New: 310.00
Emission Wavelength Changed: 8/19/2022 12:28:47 PM, Old: 375.00, New: 320.00
Stop Wavelength Changed: 8/19/2022 12:28:47 PM, Old: 360.00, New: 600.00
Zero Mode Changed: 8/19/2022 12:28:52 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:28:52 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:30:14 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:30:14 PM, Old: 310.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:30:14 PM, Old: 320.00, New: 380.00
Stop Wavelength Changed: 8/19/2022 12:30:14 PM, Old: 600.00, New: 370.00
Zero Mode Changed: 8/19/2022 12:30:18 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:30:18 PM, Old:Reading, New:ON
Emission Wavelength Changed: 8/19/2022 12:31:06 PM, Old: 380.00, New: 385.00
Zero Mode Changed: 8/19/2022 12:31:08 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:31:08 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:32:05 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:32:05 PM, Old: 240.00, New: 315.00
Emission Wavelength Changed: 8/19/2022 12:32:05 PM, Old: 385.00, New: 325.00
Stop Wavelength Changed: 8/19/2022 12:32:05 PM, Old: 370.00, New: 600.00
Zero Mode Changed: 8/19/2022 12:32:08 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:32:09 PM, Old:Reading, New:ON
Excitation Wavelength Changed: 8/19/2022 12:33:42 PM, Old: 315.00, New: 260.00
Emission Wavelength Changed: 8/19/2022 12:33:42 PM, Old: 325.00, New: 270.00
Stop Wavelength Changed: 8/19/2022 12:33:42 PM, Old: 600.00, New: 500.00
Zero Mode Changed: 8/19/2022 12:33:46 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:33:46 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:35:08 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:35:08 PM, Old: 260.00, New: 220.00
Emission Wavelength Changed: 8/19/2022 12:35:08 PM, Old: 270.00, New: 285.00
Stop Wavelength Changed: 8/19/2022 12:35:08 PM, Old: 500.00, New: 275.00
Zero Mode Changed: 8/19/2022 12:35:11 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:35:11 PM, Old:Reading, New:ON
Cursor Peak Style Changed: 8/19/2022 12:39:15 PM, Old:Choice 0, New:Choice 1
Cursor Peak Style Changed: 8/19/2022 12:39:15 PM, Old:Valleys, New:Choice 2
Cursor Peak Style Changed: 8/19/2022 12:39:15 PM, Old:Peaks Valleys, New:Choice 0
Scan mode: Changed: 8/19/2022 12:54:32 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/19/2022 12:54:32 PM, Old: 220.00, New: 310.00
Emission Wavelength Changed: 8/19/2022 12:54:32 PM, Old: 285.00, New: 320.00
Stop Wavelength Changed: 8/19/2022 12:54:32 PM, Old: 275.00, New: 600.00
Zero Mode Changed: 8/19/2022 12:54:35 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:54:35 PM, Old:Reading, New:ON
Scan mode: Changed: 8/19/2022 12:58:24 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/19/2022 12:58:24 PM, Old: 310.00, New: 240.00
Emission Wavelength Changed: 8/19/2022 12:58:24 PM, Old: 320.00, New: 375.00
Stop Wavelength Changed: 8/19/2022 12:58:24 PM, Old: 600.00, New: 360.00
Zero Mode Changed: 8/19/2022 12:58:28 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:58:28 PM, Old:Reading, New:ON
Scan Control Changed: 8/19/2022 12:59:15 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/19/2022 12:59:15 PM, Old:0.10000, New:0.50000
Zero Mode Changed: 8/19/2022 12:59:18 PM, Old:ON, New:Reading
Zero Mode Changed: 8/19/2022 12:59:18 PM, Old:Reading, New:ON
