CdSe sonochem 120min ex330,,CdSe sonochem 120min ex345,,CdSe sonochem 120min ex360,,CdSe sonochem 120min em420,,CdSe sonochem 120min em523,,CdSe sonochem 120min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
475,60.29310608,489.8399963,68.63562012,505.0700073,98.10224152,375.0700073,91.36869812,395,150.5846252,529.8499756,137.7530365,
476.0599976,58.45389938,490.8900146,65.38551331,505.9700012,100.2939148,376,89.55800629,396.0599976,151.5085754,530.8900146,135.2026215,
476.9599915,59.46180725,491.9400024,66.78153992,507.0100098,102.415451,377.0700073,84.84465027,396.9599915,150.6623383,531.9400024,132.9766541,
478.0299988,57.51954651,492.980011,66.40077209,508.0499878,104.4858627,378,84.25167084,398.0299988,149.2096558,532.9799805,131.161972,
478.9299927,55.29949188,493.8800049,67.45593262,508.9500122,107.2743301,379.0700073,81.83383942,398.9299927,148.7431183,533.8800049,128.342514,
480,53.05837631,494.9200134,66.19992065,510,111.0251312,380,78.54885101,400,148.5453644,534.9199829,125.2323074,
481.0599976,53.16710663,495.9700012,69.52554321,511.0599976,112.0070648,381.0700073,74.58280945,401.0700073,148.1622314,535.9699707,123.2060165,
481.9599915,52.62475586,496.8599854,68.08708191,511.9599915,115.3843918,382,71.90861511,402,147.6628265,536.8599854,119.675209,
483.0299988,50.44415283,497.9100037,71.71011353,513.0300293,118.3189926,383.0700073,67.42372131,403.0700073,147.3253021,537.9099731,116.7368088,
483.9299927,51.74760818,498.9500122,71.19390869,513.9299927,120.5573044,384,64.62322235,404,145.8705292,538.9500122,113.0990067,
485,50.98070908,499.8500061,71.03199768,515,123.3524399,385.0700073,62.23590088,405.0700073,147.9196167,539.8499756,110.9129181,
486.0599976,49.88441849,500.8900146,74.22343445,516.0599976,123.387886,386,60.25486755,406,147.8148804,540.8800049,107.6399689,
486.9599915,48.92336655,501.9400024,76.6063385,516.960022,127.5843277,387.0700073,56.395298,407.0700073,145.955658,541.9099731,104.9317398,
488.0299988,47.49461365,502.980011,76.67578125,518.0300293,128.3657684,388,54.82331467,408,145.3840179,542.9400024,101.343399,
488.9299927,47.06561661,503.8800049,79.18714905,518.9299927,132.6245117,389.0700073,51.93349838,409.0700073,144.2440796,543.9699707,98.82920074,
490,48.22719574,504.9200134,81.04103088,520,131.8726959,390,48.30581284,410,143.8599548,544.8499756,97.80735779,
491.0400085,46.29375839,505.9700012,82.57865906,521.039978,132.3499908,391.0599976,45.31598282,411.0599976,142.7584229,545.8800049,95.43647003,
491.9400024,46.11933517,506.8599854,89.34028625,521.9400024,132.7801819,391.9599915,43.90797043,411.9599915,140.8001556,546.9099731,90.94491577,
492.980011,47.50882339,507.9100037,89.77078247,522.9799805,131.0950623,393.0299988,41.54496765,413.0299988,139.6569977,547.9400024,89.3400116,
494.019989,47.73716354,508.9500122,94.12567139,524.0200195,129.7583923,393.9299927,39.42495728,413.9299927,141.3306427,548.9699707,88.19122314,
495.0700073,46.86624146,509.8500061,94.83177185,525.0700073,129.5662384,395,36.77410126,415,139.1896057,549.8499756,86.8245697,
495.9700012,47.15722275,510.8999939,95.40989685,525.9699707,128.8522797,396.0599976,34.70809555,416.0599976,140.5003357,550.8900146,83.99407196,
497.0100098,48.1613884,511.9599915,99.66821289,527.0100098,130.4078827,396.9599915,32.60474014,416.9599915,140.013916,551.9400024,81.51911926,
498.0499878,49.93669128,512.8699951,101.0783997,528.0499878,126.6291428,398.0299988,30.90663147,418.0299988,139.2445068,552.9799805,80.62733459,
498.9500122,50.00332642,513.9299927,105.3816376,528.9500122,124.8818588,398.9299927,28.98622894,418.9299927,141.5674591,553.8800049,78.88562775,
500,51.83589554,514.8400269,106.8787079,530,122.8022079,400,27.43955994,420,140.1447296,554.9199829,77.87586975,
501.0400085,52.76189804,515.9000244,108.5633698,531.039978,119.948494,401.0700073,24.47126961,421.0700073,138.9233398,555.9699707,75.83131409,
501.9400024,56.01080704,516.960022,110.3043518,531.9400024,119.9237289,402,22.17811584,422,141.0077362,556.8599854,73.86634827,
502.980011,56.67397308,517.8699951,110.9632416,532.9799805,116.8874893,403.0700073,20.16347313,423.0700073,139.1930237,557.9099731,72.02033234,
504.019989,59.51826477,518.9299927,113.4690247,534.0200195,115.5437469,404,19.94401741,424,139.199173,558.9500122,72.00906372,
505.0700073,58.47322083,519.8400269,114.0203247,535.0700073,111.9957352,405.0700073,17.86951828,425.0700073,136.4674225,559.8499756,69.07572174,
505.9700012,63.60564423,520.8900146,114.052536,535.9699707,109.0513916,406,17.11037064,426,136.4738617,560.8900146,68.19564056,
507.0100098,64.174263,521.9400024,114.8582001,537.0100098,107.4798355,407.0700073,15.1710453,427.0700073,135.8618469,561.9400024,66.67266846,
508.0499878,66.36302185,522.9799805,115.2897797,538.0499878,105.9174805,408,14.38036537,428,134.9846954,562.9799805,66.91941833,
508.9500122,68.87045288,523.8800049,115.5163422,538.9500122,102.2807083,409.0700073,12.76597977,429.0700073,133.2836456,563.8800049,65.49228668,
510,71.86484528,524.9199829,114.477478,540,97.66907501,410,11.61325264,430,132.9552917,564.9199829,61.58283234,
511.0599976,74.54905701,525.9699707,112.6719513,541.0200195,96.1445694,,,431.0599976,132.6260376,565.9699707,62.53629303,
511.9599915,73.91517639,526.8599854,111.5820007,542.0499878,93.1000061,,,431.9599915,133.3360443,566.8599854,61.92636871,
513.0300293,78.29097748,527.9099731,111.519577,542.9400024,93.28095245,,,433.0299988,131.8328705,567.9099731,61.39296722,
513.9299927,80.17821503,528.9500122,107.7906952,543.9699707,89.37931061,,,433.9299927,132.6140747,568.9500122,59.46805573,
515,78.34275055,529.8499756,106.8027191,545,86.67303467,,,435,131.877533,569.8499756,58.35533905,
516.0599976,82.47237396,530.8900146,103.7213745,546.0200195,83.7713089,,,436.0599976,131.5796509,570.8800049,57.53453827,
516.960022,84.02179718,531.9400024,105.0007782,547.0499878,82.42853546,,,436.9599915,131.7679901,571.9099731,56.77526855,
518.0300293,85.95659637,532.9799805,101.7143402,547.9400024,80.8615036,,,438.0299988,132.4949036,572.9400024,54.35847473,
518.9299927,83.09255219,533.8800049,99.86700439,548.9699707,78.14804077,,,438.9299927,131.110611,573.9699707,54.90971375,
520,84.02161407,534.9199829,97.23117065,550,77.36045074,,,440,131.1734161,574.8499756,54.17595673,
521.039978,87.48686218,535.9699707,93.50668335,551.039978,75.72975922,,,441.0599976,131.2465515,575.8800049,53.62530518,
521.9400024,86.59568024,536.8599854,93.65182495,551.9400024,72.29050446,,,441.9599915,131.3304749,576.9099731,52.85641479,
522.9799805,86.68074799,537.9099731,89.87780762,552.9799805,71.90905762,,,443.0299988,131.7375183,577.9400024,51.87260437,
524.0200195,89.11997986,538.9500122,88.41946411,554.0200195,70.05239868,,,443.9299927,130.581131,578.9699707,51.26557159,
525.0700073,88.24202728,539.8499756,85.96899414,555.0700073,67.61813354,,,445,129.3098145,579.8499756,50.69020081,
525.9699707,83.88449097,540.8800049,82.27096558,555.9699707,68.4895401,,,446.0599976,130.460907,580.8800049,49.65385437,
527.0100098,82.94988251,541.9099731,80.82307434,557.0100098,66.18402863,,,446.9599915,130.0375214,581.9099731,48.52867889,
528.0499878,83.4835968,542.9400024,79.24639893,558.0499878,64.01992035,,,448.0299988,130.5992889,582.9400024,48.13986969,
528.9500122,83.48886108,543.9699707,76.98269653,558.9500122,62.09793472,,,448.9299927,129.3909454,583.9699707,47.35616302,
530,83.3946991,544.8499756,76.00050354,560,61.94374466,,,450,128.9358521,584.8499756,46.8799057,
531.039978,78.26418304,545.8800049,73.46864319,561.039978,61.1067543,,,451.0599976,127.7143936,585.8800049,45.10092926,
531.9400024,77.76494598,546.9099731,69.65127563,561.9400024,60.46033096,,,451.9599915,128.4263306,586.9099731,45.39411926,
