CdSe 120 sec em420,,CdSe 120 sec em410,,CdSe 120 sec ex345,,CdSe 120 sec em425,,CdSe 120 sec em435,,CdSe 120 sec em445,,CdSe 120 sec em455,,CdSe 120 sec em465,,CdSe 120 sec ex365,,CdSe 120 sec ex335,,CdSe 120 sec em500,,CdSe 120 sec ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
307.0700073,15.0727396,307.0700073,16.98083878,421.8399963,41.46813965,307.0700073,13.96962738,307.0700073,11.59972,307.0700073,10.40121651,307.0700073,9.070243835,307.0700073,7.356640816,441.9599915,40.74131775,411.9599915,39.04958344,327.0299988,22.65520859,461.9599915,36.4841423,
308,15.42755985,308,17.09235764,422.9200134,42.32488632,308,14.86711693,308,11.67598343,308,10.8296566,308,9.746537209,308,8.540850639,442.8699951,42.61870956,412.8699951,40.6259079,327.9599915,22.65070724,462.8699951,37.51185226,
309.0700073,17.22031021,309.0700073,18.80917358,423.8399963,42.88471985,309.0700073,16.55858231,309.0700073,12.66940689,309.0700073,11.69508743,309.0700073,10.16317368,309.0700073,9.168026924,443.9299927,43.05440903,413.9299927,40.80988312,329.0599976,21.28093338,463.9299927,35.80321884,
310,16.69780731,310,18.35978317,424.9200134,42.64426804,310,15.98022652,310,13.01976967,310,12.68634987,310,9.93832016,310,9.245186806,444.8399963,42.653759,414.8399963,38.47966003,330,22.67288589,464.8399963,37.30685425,
311.0700073,17.83874512,311.0700073,20.59247589,425.8399963,42.70756149,311.0700073,17.17661476,311.0700073,14.44735909,311.0700073,12.75232506,311.0700073,10.60851955,311.0700073,9.494836807,445.8999939,42.53356552,415.8999939,40.74422836,331.0700073,24.14047241,465.8999939,36.49103928,
312,18.29956818,312,20.79140854,426.9200134,42.68506622,312,18.20118904,312,14.82316017,312,13.51994514,312,10.80386353,312,9.84119606,446.9599915,40.92823792,416.9599915,40.09325409,332,24.90626144,466.9599915,37.17773438,
313.0700073,18.66369247,313.0700073,21.54299927,427.8399963,42.22463608,313.0700073,18.88844299,313.0700073,15.98707581,313.0700073,13.96476173,313.0700073,11.31867409,313.0700073,10.71588802,447.8699951,39.97831726,417.8699951,40.1954422,333.0700073,25.32866287,467.8699951,36.76825714,
314,19.71157074,314,21.67918396,428.9200134,42.46967697,314,19.66955948,314,15.66123772,314,14.27179527,314,11.44919777,314,10.38458157,448.9299927,41.22659683,418.9299927,39.9732933,334,25.53939056,468.9299927,37.3163414,
315.0700073,20.9734993,315.0700073,23.15093994,429.8399963,42.39009476,315.0700073,20.49295235,315.0700073,17.38763237,315.0700073,15.24837494,315.0700073,12.87316608,315.0700073,10.79734039,449.8399963,41.76702881,419.8399963,40.21632004,335.0700073,25.96109772,469.8399963,36.26507187,
316,22.3556633,316,24.58651733,430.8999939,43.00629807,316,20.85529709,316,18.71213722,316,15.78899765,316,13.17566395,316,12.1425724,450.8999939,40.75621414,420.9200134,39.92733765,336,26.7998085,470.8999939,36.9317894,
