CdSe sonochem 30min em420,,CdSe sonochem 30min ex345,,CdSe sonochem 30min em510,,CdSe sonochem 30min ex380,,CdSe sonochem 30min ex330,,CdSe sonochem 30min ex360,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
362,228.8262634,476.9599915,133.9375153,382,192.8312225,511.9599915,175.3661346,461.9599915,122.5170364,491.9400024,145.383194,
363.0700073,222.1109314,477.8699951,133.2413635,383.0700073,190.7837677,513.0300293,176.8160706,463.0299988,119.4046097,492.980011,145.1904297,
364,218.2402954,478.9299927,128.3148651,384,193.2903442,513.9299927,175.3444366,463.9299927,118.0012054,494.019989,146.4295044,
365.0700073,210.4403687,479.8399963,128.3326111,385.0700073,192.6436768,515,172.0441132,465,115.8126755,495.0700073,147.9189301,
366,203.0143433,480.8999939,127.6090012,386,190.9490204,516.0599976,170.5670319,466.0599976,112.8561783,495.9700012,148.3982391,
367.0700073,199.3607178,481.9599915,124.1946945,387.0700073,190.6280365,516.960022,170.3762512,466.9599915,112.3095245,497.0100098,149.4234314,
368,194.481842,482.8699951,123.3403549,388,191.3981628,518.0300293,168.0864563,468.0299988,108.005806,498.0499878,150.3809357,
369.0700073,186.8792725,483.9299927,122.0593338,389.0700073,190.8730011,518.9299927,168.1119385,468.9299927,107.3096924,498.9500122,151.6335297,
370,189.4526672,484.8399963,122.1459579,390,187.4809723,520,164.9247437,470,104.7104874,500,153.9869385,
371.0700073,181.6035156,485.8999939,123.2205124,391.0599976,188.2888336,521.039978,162.8654022,471.0599976,105.6540756,501.0400085,158.6263733,
372,175.7145691,486.9599915,120.614006,391.9599915,188.2521362,521.9400024,161.9171448,471.9599915,99.55989838,501.9400024,156.3039398,
373.0700073,170.4489136,487.8699951,118.3221817,393.0299988,186.4225006,522.9799805,158.68013,473.0299988,99.19017792,502.980011,159.1137085,
374,167.2211914,488.9299927,120.0476608,393.9299927,185.8170319,524.0200195,157.7714081,473.9299927,94.43296814,504.019989,159.6832581,
375.0700073,162.7566528,489.8399963,119.6800766,395,183.6953735,525.0700073,155.7773285,475,94.15822601,505.0700073,160.3552856,
376,157.6076355,490.8900146,120.7773972,396.0599976,181.6461487,525.9699707,153.642334,476.0599976,91.62072754,505.9700012,159.807312,
377.0700073,152.3253479,491.9400024,121.2765274,396.9599915,181.7248688,527.0100098,152.8079987,476.9599915,91.54390717,507.0100098,159.9155731,
378,147.3034668,492.980011,119.6878433,398.0299988,178.0336914,528.0499878,150.124649,478.0299988,90.06956482,508.0499878,159.0740509,
379.0700073,142.0294495,493.8800049,122.9043808,398.9299927,178.2191925,528.9500122,147.9029541,478.9299927,85.89366913,508.9500122,160.9020386,
380,137.6705322,494.9200134,123.2094498,400,177.6350555,530,144.2970428,480,85.70468903,510,161.4611816,
381.0700073,131.3526917,495.9700012,123.0231705,401.0700073,175.0737305,531.039978,143.9996185,481.0599976,85.82357025,511.0599976,160.9580688,
382,123.584877,496.8599854,125.0383377,402,174.3490143,531.9400024,139.6554108,481.9599915,84.56928253,511.9599915,162.214447,
383.0700073,122.1347885,497.9100037,123.0838242,403.0700073,172.7073822,532.9799805,137.5958405,483.0299988,84.00112152,513.0300293,159.4097595,
384,114.8401184,498.9500122,126.3907394,404,172.7321777,534.0200195,137.281601,483.9299927,82.01335144,513.9299927,156.1004181,
385.0700073,109.3452606,499.8500061,126.5432053,405.0700073,169.44133,535.0700073,134.9476624,485,82.13059998,515,156.6927795,
386,104.8613968,500.8900146,129.3917694,406,168.130722,535.9699707,134.2228699,486.0599976,82.37704468,516.0599976,156.3433075,
387.0700073,101.3990631,501.9400024,130.1987762,407.0700073,166.4886932,537.0100098,129.212265,486.9599915,80.260849,516.960022,152.8127289,
388,95.02359772,502.980011,132.8066254,408,165.7815399,538.0499878,129.9573364,488.0299988,82.14629364,518.0300293,153.547699,
389.0700073,90.32885742,503.8800049,130.8909302,409.0700073,164.0850677,538.9500122,128.1513977,488.9299927,83.38301086,518.9299927,150.7024536,
390,84.84831238,504.9200134,134.6345825,410,162.0330658,540,126.239296,490,82.23352814,520,148.5401154,
391.0599976,81.24910736,505.9700012,133.8621521,411.0599976,161.142868,541.0200195,124.2484665,491.0400085,83.08545685,521.039978,146.2481842,
391.9599915,78.42887878,506.8599854,134.6751709,411.9599915,159.369339,542.0499878,123.7401047,491.9400024,81.7193222,521.9400024,145.6407623,
393.0299988,73.41399384,507.9100037,134.4279938,413.0299988,158.3572845,542.9400024,120.2869186,492.980011,81.25417328,522.9799805,144.5690155,
393.9299927,70.88554382,508.9500122,134.4572601,413.9299927,157.1070404,543.9699707,118.7645493,494.019989,84.79206848,524.0200195,141.6795959,
395,66.40575409,509.8500061,134.4308624,415,155.2435455,545,117.6840591,495.0700073,84.69667053,525.0700073,141.2324371,
396.0599976,61.2113266,510.8999939,133.3545532,416.0599976,152.5174866,546.0200195,115.8839798,495.9700012,85.18460846,525.9699707,138.4965668,
396.9599915,57.93717194,511.9599915,134.4291992,416.9599915,152.5676117,547.0499878,113.7892532,497.0100098,86.97050476,527.0100098,136.7272339,
398.0299988,53.45453644,512.8699951,132.6631622,418.0299988,151.8859711,547.9400024,110.0597916,498.0499878,88.57092285,528.0499878,135.552124,
398.9299927,51.64790726,513.9299927,131.9008331,418.9299927,152.5631104,548.9699707,110.3316116,498.9500122,88.70755005,528.9500122,131.8025665,
400,46.45500183,514.8400269,131.5501404,420,151.5072784,550,107.3667984,500,91.45423889,530,131.1385345,
401.0700073,42.88721466,515.9000244,130.7140503,421.0700073,150.9615631,551.039978,106.9615097,501.0400085,89.88793182,531.039978,130.0934296,
402,39.00610352,516.960022,129.9686432,422,150.5363922,551.9400024,105.3387985,501.9400024,91.87388611,531.9400024,126.969986,
403.0700073,36.6841011,517.8699951,128.15802,423.0700073,149.6596832,552.9799805,103.0032501,502.980011,89.19657898,532.9799805,126.2286224,
404,34.06529236,518.9299927,126.3389206,424,148.319458,554.0200195,101.6192169,504.019989,93.61992645,534.0200195,124.2207031,
405.0700073,31.24542236,519.8400269,128.2550354,425.0700073,146.9904175,555.0700073,98.62562561,505.0700073,94.13228607,535.0700073,121.8003998,
406,29.06925583,520.8900146,122.1441422,426,145.9347992,555.9699707,98.32006836,505.9700012,90.95523071,535.9699707,121.2034149,
407.0700073,26.49633026,521.9400024,122.9938583,427.0700073,144.9639893,557.0100098,97.8292923,507.0100098,94.34889984,537.0100098,118.703537,
408,24.40517426,522.9799805,117.8537064,428,141.2328796,558.0499878,95.59420776,508.0499878,95.33310699,538.0499878,115.8554382,
409.0700073,21.93645096,523.8800049,119.0789871,429.0700073,141.441391,558.9500122,95.4305191,508.9500122,95.11749268,538.9500122,116.5885925,
410,19.64782524,524.9199829,115.1786423,430,138.7602234,560,92.40396881,510,94.85704041,540,115.4371185,
,,525.9699707,113.1678238,431.0599976,139.6938477,561.039978,89.86231232,511.0599976,95.72182465,541.0200195,111.0063782,
,,526.8599854,113.05233,431.9599915,137.7735138,561.9400024,89.61826324,511.9599915,95.5773468,542.0499878,110.3420715,
,,527.9099731,111.971489,433.0299988,138.359436,562.9799805,87.82330322,513.0300293,95.55615234,542.9400024,110.1411896,
,,528.9500122,113.921608,433.9299927,136.411377,564.0200195,87.73999786,513.9299927,96.61801147,543.9699707,107.9385529,
,,529.8499756,108.7319565,435,134.4553528,565.0700073,85.75978088,515,94.72987366,545,104.775177,
,,530.8900146,111.4115067,436.0599976,133.8737183,565.9699707,84.0215683,516.0599976,93.20465088,546.0200195,102.9023285,
,,531.9400024,108.8514175,436.9599915,133.7159882,567.0100098,82.69178772,516.960022,94.0458374,547.0499878,102.8830795,
,,532.9799805,105.5169144,438.0299988,132.9056702,568.0499878,80.99158478,518.0300293,94.90189362,547.9400024,100.4424591,
,,533.8800049,104.3669052,438.9299927,132.8981781,568.9500122,79.35147858,518.9299927,92.35040283,548.9699707,99.98036194,
