CdSe 60 sec ex380,,CdSe 60 sec em520,,CdSe 60 sec ex400,,CdSe 60 sec em445,,CdSe 60 sec ex375,,CdSe 60 sec ex330,,CdSe 60 sec em410,,CdSe 60 sec ex340,,CdSe 60 sec em425,,CdSe 60 sec ex350,,CdSe 60 sec em455,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
448.0299988,25.84319496,327.9599915,11.87558651,468.0299988,19.82078934,297.9599915,1.1913836,442.8699951,25.07723427,398,18.72271347,297.9599915,3.844724655,408,20.23195076,297.9599915,2.431872845,418.0299988,21.80558014,297.9599915,1.280629873,
448.9299927,25.53455544,329.0599976,10.92927551,468.9299927,19.84919739,299.0599976,1.276565313,443.9299927,25.22635841,399.0700073,19.50703049,299.0599976,4.475016594,409.0700073,21.22125435,299.0599976,2.862419605,418.9299927,21.72215843,299.0599976,1.267379522,
450,26.37280083,330,11.95802593,470,20.14717484,300,1.801980257,444.8399963,25.43288612,400,19.59247971,300,4.448403835,410,21.35687447,300,3.222799778,420,22.14113998,300,1.510079622,
451.0599976,26.50161552,331.0700073,12.85115528,471.0599976,19.18368912,301.0700073,2.05194211,445.8999939,25.4594059,401.0700073,19.32518005,301.0700073,5.170931816,411.0599976,20.49916077,301.0700073,3.224923611,421.0700073,22.63748932,301.0700073,1.864225149,
451.9599915,25.71436119,332,12.21569824,471.9599915,19.43380737,302,2.635670424,446.9599915,26.79295158,402,19.94200897,302,5.831012249,411.9599915,21.27856064,302,3.703218937,422,23.11112595,302,1.975356817,
453.0299988,26.12204552,333.0700073,11.83049488,473.0299988,18.97763443,303.0700073,2.545312643,447.8699951,27.1857872,403.0700073,20.15787888,303.0700073,5.392883301,413.0299988,21.18696594,303.0700073,3.534519672,423.0700073,23.06793594,303.0700073,3.14912343,
453.9299927,26.54965782,334,13.38545895,473.9299927,18.76497269,304,3.112228155,448.9299927,26.00401497,404,20.30001068,304,6.348114491,413.9299927,22.041399,304,4.701627731,424,23.40836334,304,2.802111864,
455,26.54603767,335.0700073,13.96838951,475,18.16225433,305.0700073,3.462410212,449.8399963,27.56981087,405.0700073,20.37870407,305.0700073,7.092267513,415,21.43310928,305.0700073,5.203954697,425.0700073,23.0418148,305.0700073,3.381520033,
456.0599976,26.33086395,336,13.45912266,476.0599976,18.34862137,306,3.935961485,450.8999939,26.90142632,406,19.90591049,306,7.011187077,416.0599976,21.54401779,306,5.476234436,426,23.01049995,306,3.390547991,
456.9599915,27.33570099,337.0700073,15.18851662,476.9599915,17.59730911,307.0700073,3.906212091,451.9599915,27.60902023,407.0700073,19.51915741,307.0700073,7.860711575,416.9599915,21.8241539,307.0700073,5.819527149,427.0700073,23.10847664,307.0700073,3.978015661,
